level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNo,id,friendlyLatin,arabic,english,scenario,possibleMoroccanReply,cultureNote,pronunciationParts,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,contentStatus
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,1,1,قراءة Latin Darija بالأرقام,1,L11-D01-P01,ma fhmtsh had 7ruf b l-ar9am,ما فهمتش هاد الحروف بالأرقام,I did not understand these letters with numbers.,You receive a Darija message written with numbers for the first time.,"3adi, nshre7 lik.","In Moroccan chat, numbers can represent Arabic sounds, so asking is normal.",ma / fhmtsh / had / 7ruf / b / l-ar9am,assets/audio/level11/day01/l11-d01-p01-normal.mp3,assets/audio/level11/day01/l11-d01-p01-slow.mp3,assets/video/level11/day01/l11-d01-p01-scene.mp4,assets/images/video-posters/level11/day01/l11-d01-p01-poster.webp,assets/images/lesson-scenes/level11/day01/l11-d01-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,1,1,قراءة Latin Darija بالأرقام,2,L11-D01-P02,"3afak, 3lach katktbo b 3?",عافاك، علاش كتكتبو ب 3؟,"Please, why do you write with 3?",You see the number 3 inside a message and want the meaning.,7it katji b7al 3ayn.,"Ask about the symbol, not the whole language at once.",3afak / 3lach / katktbo / b / 3,assets/audio/level11/day01/l11-d01-p02-normal.mp3,assets/audio/level11/day01/l11-d01-p02-slow.mp3,assets/video/level11/day01/l11-d01-p02-scene.mp4,assets/images/video-posters/level11/day01/l11-d01-p02-poster.webp,assets/images/lesson-scenes/level11/day01/l11-d01-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,1,1,قراءة Latin Darija بالأرقام,3,L11-D01-P03,had 7 kay3ni 7a?,هاد 7 كيعني حا؟,Does this 7 mean the ha sound?,You are decoding a written message with 7.,"iyah, b7al 7ob.",7 is commonly used for the Arabic sound ح in chat writing.,had / 7 / kay3ni / 7a,assets/audio/level11/day01/l11-d01-p03-normal.mp3,assets/audio/level11/day01/l11-d01-p03-slow.mp3,assets/video/level11/day01/l11-d01-p03-scene.mp4,assets/images/video-posters/level11/day01/l11-d01-p03-poster.webp,assets/images/lesson-scenes/level11/day01/l11-d01-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,1,1,قراءة Latin Darija بالأرقام,4,L11-D01-P04,9rit l-message shwiya shwiya,قريت الميساج شوية شوية,I read the message little by little.,You are practicing reading a message slowly.,"mzyan, bda b shwiya.",Slow reading is acceptable when learning chat Darija.,9rit / l-message / shwiya / shwiya,assets/audio/level11/day01/l11-d01-p04-normal.mp3,assets/audio/level11/day01/l11-d01-p04-slow.mp3,assets/video/level11/day01/l11-d01-p04-scene.mp4,assets/images/video-posters/level11/day01/l11-d01-p04-poster.webp,assets/images/lesson-scenes/level11/day01/l11-d01-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,1,1,قراءة Latin Darija بالأرقام,5,L11-D01-P05,3tini wa7ed l-mital aafak,عطيني واحد المثال عافاك,Give me one example please.,You ask a Moroccan friend for a sample message.,matalan: 3afak.,One example is often better than a long explanation.,3tini / wa7ed / l-mital / aafak,assets/audio/level11/day01/l11-d01-p05-normal.mp3,assets/audio/level11/day01/l11-d01-p05-slow.mp3,assets/video/level11/day01/l11-d01-p05-scene.mp4,assets/images/video-posters/level11/day01/l11-d01-p05-poster.webp,assets/images/lesson-scenes/level11/day01/l11-d01-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,2,1,فهم 3 و7 و9 في الرسائل,1,L11-D02-P01,3 kayban f bzaf d lklmat,3 كيبان ف بزاف د الكلمات,3 appears in many words.,You notice 3 in several WhatsApp words.,"iyah, b7al 3afak.",The learner should recognize recurring symbols before speaking fast.,3 / kayban / f / bzaf / d / lklmat,assets/audio/level11/day02/l11-d02-p01-normal.mp3,assets/audio/level11/day02/l11-d02-p01-slow.mp3,assets/video/level11/day02/l11-d02-p01-scene.mp4,assets/images/video-posters/level11/day02/l11-d02-p01-poster.webp,assets/images/lesson-scenes/level11/day02/l11-d02-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,2,1,فهم 3 و7 و9 في الرسائل,2,L11-D02-P02,7 f 7itla kaytsma kifach?,7 ف هاد الكلمة كيتسمى كيفاش؟,How is 7 pronounced in this word?,You ask how to pronounce 7 in a specific chat word.,kat9olha men l7alq.,Pronunciation support matters before audio production.,7 / f / 7itla / kaytsma / kifach,assets/audio/level11/day02/l11-d02-p02-normal.mp3,assets/audio/level11/day02/l11-d02-p02-slow.mp3,assets/video/level11/day02/l11-d02-p02-scene.mp4,assets/images/video-posters/level11/day02/l11-d02-p02-poster.webp,assets/images/lesson-scenes/level11/day02/l11-d02-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,2,1,فهم 3 و7 و9 في الرسائل,3,L11-D02-P03,9 hna kayban b7al qaf,9 هنا كيبان بحال قاف,Here 9 looks like qaf.,You see 9 in a chat spelling and guess the sound.,s7i7 f bzaf d lktaba.,9 may represent ق in many Moroccan chat spellings.,9 / hna / kayban / b7al / qaf,assets/audio/level11/day02/l11-d02-p03-normal.mp3,assets/audio/level11/day02/l11-d02-p03-slow.mp3,assets/video/level11/day02/l11-d02-p03-scene.mp4,assets/images/video-posters/level11/day02/l11-d02-p03-poster.webp,assets/images/lesson-scenes/level11/day02/l11-d02-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,2,1,فهم 3 و7 و9 في الرسائل,4,L11-D02-P04,"ila ma 3raftsh n9raha, ghadi nsawal",إلا ما عرفتش نقراها، غادي نسول,"If I cannot read it, I will ask.",You decide how to handle unreadable chat Darija.,swel bla 7chma.,Asking directly prevents misunderstanding.,ila / ma / 3raftsh / n9raha / ghadi / nsawal,assets/audio/level11/day02/l11-d02-p04-normal.mp3,assets/audio/level11/day02/l11-d02-p04-slow.mp3,assets/video/level11/day02/l11-d02-p04-scene.mp4,assets/images/video-posters/level11/day02/l11-d02-p04-poster.webp,assets/images/lesson-scenes/level11/day02/l11-d02-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
11,Native Listening / WhatsApp / Media,الفهم الحقيقي: واتساب والإعلام والكلام السريع,2,1,فهم 3 و7 و9 في الرسائل,5,L11-D02-P05,ktbha lia bla ar9am mumkin?,كتبها ليا بلا أرقام ممكن؟,Can you write it for me without numbers?,You ask a friend to simplify the message.,"wakha, nktbha lik.",Some Moroccans can rewrite the same phrase in simpler Latin letters.,ktbha / lia / bla / ar9am / mumkin,assets/audio/level11/day02/l11-d02-p05-normal.mp3,assets/audio/level11/day02/l11-d02-p05-slow.mp3,assets/video/level11/day02/l11-d02-p05-scene.mp4,assets/images/video-posters/level11/day02/l11-d02-p05-poster.webp,assets/images/lesson-scenes/level11/day02/l11-d02-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
