level,day,week,phraseNumber,phraseId,dayTitle,scenario,friendlyLatin,arabic,english,possibleMoroccanReply,cultureNote,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual
6,1,1,1,L06-D01-P01,الدخول إلى بيت مغربي,You greet at the door.,salam alikom,سلام عليكم,Peace be upon you.,"w alikom salam, marhba",Greetings are not rushed in Morocco; start with salam before any request.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day01/l06-d01-p01-normal.mp3,assets/audio/level06/day01/l06-d01-p01-slow.mp3,assets/video/level06/day01/l06-d01-p01-scene.mp4,assets/images/video-posters/level06/day01/l06-d01-p01-poster.webp,assets/images/lesson-scenes/level06/day01/l06-d01-p01-scene.webp
6,1,1,2,L06-D01-P02,الدخول إلى بيت مغربي,You thank them for inviting you.,shukran 3la l-3rda,شكراً على العرضة,Thank you for the invitation.,marhba bik,Thanking the host early shows respect and warmth.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day01/l06-d01-p02-normal.mp3,assets/audio/level06/day01/l06-d01-p02-slow.mp3,assets/video/level06/day01/l06-d01-p02-scene.mp4,assets/images/video-posters/level06/day01/l06-d01-p02-poster.webp,assets/images/lesson-scenes/level06/day01/l06-d01-p02-scene.webp
6,1,1,3,L06-D01-P03,الدخول إلى بيت مغربي,You say this is your first time in a Moroccan home.,hadi awel mara f-dar mghribiya,هادي أول مرة فدار مغربية,This is my first time in a Moroccan home.,marhba bik f-darna,This helps hosts understand you may need guidance.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day01/l06-d01-p03-normal.mp3,assets/audio/level06/day01/l06-d01-p03-slow.mp3,assets/video/level06/day01/l06-d01-p03-scene.mp4,assets/images/video-posters/level06/day01/l06-d01-p03-poster.webp,assets/images/lesson-scenes/level06/day01/l06-d01-p03-scene.webp
6,1,1,4,L06-D01-P04,الدخول إلى بيت مغربي,You ask whether to remove your shoes.,wash nhyd s-sbat?,واش نحيد الصباط؟,Should I take off my shoes?,"ila bghiti, wakha",Some homes expect shoes off; asking is polite.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day01/l06-d01-p04-normal.mp3,assets/audio/level06/day01/l06-d01-p04-slow.mp3,assets/video/level06/day01/l06-d01-p04-scene.mp4,assets/images/video-posters/level06/day01/l06-d01-p04-poster.webp,assets/images/lesson-scenes/level06/day01/l06-d01-p04-scene.webp
6,1,1,5,L06-D01-P05,الدخول إلى بيت مغربي,You ask permission to come in.,ndkhol aafak?,ندخل عافاك؟,"May I come in, please?","tfadal, dkhol",A short permission phrase fits the hospitality setting.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day01/l06-d01-p05-normal.mp3,assets/audio/level06/day01/l06-d01-p05-slow.mp3,assets/video/level06/day01/l06-d01-p05-scene.mp4,assets/images/video-posters/level06/day01/l06-d01-p05-poster.webp,assets/images/lesson-scenes/level06/day01/l06-d01-p05-scene.webp
6,2,1,1,L06-D02-P01,التحية على كل الحاضرين,You reply to the greeting.,w alikom salam,وعليكم السلام,And peace be upon you.,marhba,Responding to salam is expected and respectful.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day02/l06-d02-p01-normal.mp3,assets/audio/level06/day02/l06-d02-p01-slow.mp3,assets/video/level06/day02/l06-d02-p01-scene.mp4,assets/images/video-posters/level06/day02/l06-d02-p01-poster.webp,assets/images/lesson-scenes/level06/day02/l06-d02-p01-scene.webp
6,2,1,2,L06-D02-P02,التحية على كل الحاضرين,You ask how everyone is.,labas alikom?,لاباس عليكم؟,How are you all?,"labas, lhamdullah",Use plural when greeting a group.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day02/l06-d02-p02-normal.mp3,assets/audio/level06/day02/l06-d02-p02-slow.mp3,assets/video/level06/day02/l06-d02-p02-scene.mp4,assets/images/video-posters/level06/day02/l06-d02-p02-poster.webp,assets/images/lesson-scenes/level06/day02/l06-d02-p02-scene.webp
6,2,1,3,L06-D02-P03,التحية على كل الحاضرين,You ask if everything is good.,kolshi bikhir?,كلشي بخير؟,Is everything good?,kolshi mzyan,Small wellbeing questions are part of Moroccan greetings.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day02/l06-d02-p03-normal.mp3,assets/audio/level06/day02/l06-d02-p03-slow.mp3,assets/video/level06/day02/l06-d02-p03-scene.mp4,assets/images/video-posters/level06/day02/l06-d02-p03-poster.webp,assets/images/lesson-scenes/level06/day02/l06-d02-p03-scene.webp
6,2,1,4,L06-D02-P04,التحية على كل الحاضرين,You say it is nice to meet them.,mzyan ntlaqa bikom,مزيان نتلاقى بكم,Nice to meet you all.,hna ferhanin bik,A warm sentence helps move from formal to friendly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day02/l06-d02-p04-normal.mp3,assets/audio/level06/day02/l06-d02-p04-slow.mp3,assets/video/level06/day02/l06-d02-p04-scene.mp4,assets/images/video-posters/level06/day02/l06-d02-p04-poster.webp,assets/images/lesson-scenes/level06/day02/l06-d02-p04-scene.webp
6,2,1,5,L06-D02-P05,التحية على كل الحاضرين,You apologize if you forget a name.,smh lia ila nseet chi smiya,سمح ليا إلا نسيت شي سمية,Sorry if I forget a name.,ma kayn moshkil,Names can be many in family gatherings; humility is appreciated.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day02/l06-d02-p05-normal.mp3,assets/audio/level06/day02/l06-d02-p05-slow.mp3,assets/video/level06/day02/l06-d02-p05-scene.mp4,assets/images/video-posters/level06/day02/l06-d02-p05-poster.webp,assets/images/lesson-scenes/level06/day02/l06-d02-p05-scene.webp
6,3,1,1,L06-D03-P01,السؤال على العائلة,You ask about the family.,kif dayra l-3aila?,كيف دايرة العائلة؟,How is the family?,bikhir lhamdullah,Asking about family is normal and friendly in Morocco.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day03/l06-d03-p01-normal.mp3,assets/audio/level06/day03/l06-d03-p01-slow.mp3,assets/video/level06/day03/l06-d03-p01-scene.mp4,assets/images/video-posters/level06/day03/l06-d03-p01-poster.webp,assets/images/lesson-scenes/level06/day03/l06-d03-p01-scene.webp
6,3,1,2,L06-D03-P02,السؤال على العائلة,You ask about the parents.,kif dayrin l-walidin?,كيف دايرين الوالدين؟,How are your parents?,"bikhir, allah yhafdk",Mentioning parents respectfully shows cultural awareness.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day03/l06-d03-p02-normal.mp3,assets/audio/level06/day03/l06-d03-p02-slow.mp3,assets/video/level06/day03/l06-d03-p02-scene.mp4,assets/images/video-posters/level06/day03/l06-d03-p02-poster.webp,assets/images/lesson-scenes/level06/day03/l06-d03-p02-scene.webp
6,3,1,3,L06-D03-P03,السؤال على العائلة,You ask if they have siblings.,wash 3andk khot?,واش عندك خوت؟,Do you have brothers or sisters?,"iyeh, 3andi khoya w khti","This is friendly small talk, but keep it light.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day03/l06-d03-p03-normal.mp3,assets/audio/level06/day03/l06-d03-p03-slow.mp3,assets/video/level06/day03/l06-d03-p03-scene.mp4,assets/images/video-posters/level06/day03/l06-d03-p03-poster.webp,assets/images/lesson-scenes/level06/day03/l06-d03-p03-scene.webp
6,3,1,4,L06-D03-P04,السؤال على العائلة,You ask about the children.,kif dayrin d-drari?,كيف دايرين الدراري؟,How are the children?,"mzyanin, kayl3bo",Use this when children are clearly part of the gathering.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day03/l06-d03-p04-normal.mp3,assets/audio/level06/day03/l06-d03-p04-slow.mp3,assets/video/level06/day03/l06-d03-p04-scene.mp4,assets/images/video-posters/level06/day03/l06-d03-p04-poster.webp,assets/images/lesson-scenes/level06/day03/l06-d03-p04-scene.webp
6,3,1,5,L06-D03-P05,السؤال على العائلة,You offer a blessing for a child or relative.,allah ykhlihom lik,الله يخليهم ليك,May God protect them for you.,"amin, shukran",Blessings are often appreciated in family talk.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level06/day03/l06-d03-p05-normal.mp3,assets/audio/level06/day03/l06-d03-p05-slow.mp3,assets/video/level06/day03/l06-d03-p05-scene.mp4,assets/images/video-posters/level06/day03/l06-d03-p05-poster.webp,assets/images/lesson-scenes/level06/day03/l06-d03-p05-scene.webp
