level,levelNameEnglish,levelNameArabic,day,dayTheme,situationNo,sceneId,targetPhraseId,sceneRole,sceneTitle,place,trigger,learnerGoal,learnerSaysIntent,possibleMoroccanReply,cultureRule,imagePromptSeed,videoActionSeed,mediaReadinessRule,differentiationNote
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,1,L01-D01-S01,L01-D01-P01,فتح الموقف,فتح الموقف — الوصول إلى المغرب,طاكسي صغير,المتعلم في طاكسي صغير ضمن موقف: الوصول إلى المغرب. يحتاج أن يتصرف بدون ترجمة طويلة.,يفتح المتعلم الكلام بطريقة طبيعية ومهذبة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الوصول إلى المغرب.,يقول جملة دارجة قصيرة تؤدي وظيفة: فتح الموقف في موقف الوصول إلى المغرب.,دابا نشوفو.,الابتسامة ونبرة هادئة مهمة في المواقف اليومية بالمغرب.,صورة ذهنية واقعية: متعلم أجنبي في طاكسي صغير بالمغرب، الموقف هو “الوصول إلى المغرب”، واللقطة تُظهر لحظة فتح الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في طاكسي صغير، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “دابا نشوفو.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,2,L01-D01-S02,L01-D01-P02,طلب أساسي,طلب أساسي — الوصول إلى المغرب,طاكسي صغير,المتعلم في طاكسي صغير ضمن موقف: الوصول إلى المغرب. يحتاج أن يتصرف بدون ترجمة طويلة.,يطلب المتعلم شيئًا واضحًا مرتبطًا بالموقف. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الوصول إلى المغرب.,يقول جملة دارجة قصيرة تؤدي وظيفة: طلب أساسي في موقف الوصول إلى المغرب.,إييه، ممكن.,في المغرب كثير من التفاهم يتم بعبارات قصيرة وسياق واضح.,صورة ذهنية واقعية: متعلم أجنبي في طاكسي صغير بالمغرب، الموقف هو “الوصول إلى المغرب”، واللقطة تُظهر لحظة طلب أساسي بدون نص كثير.,فيديو قصير: يبدأ المشهد في طاكسي صغير، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “إييه، ممكن.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,3,L01-D01-S03,L01-D01-P03,توضيح أو سؤال,توضيح أو سؤال — الوصول إلى المغرب,طاكسي صغير,المتعلم في طاكسي صغير ضمن موقف: الوصول إلى المغرب. يحتاج أن يتصرف بدون ترجمة طويلة.,يسأل المتعلم سؤالًا إضافيًا أو يوضح الحاجة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الوصول إلى المغرب.,يقول جملة دارجة قصيرة تؤدي وظيفة: توضيح أو سؤال في موقف الوصول إلى المغرب.,لا، سمح ليا.,الأدب أهم من الترجمة الحرفية، خصوصًا مع كبار السن أو المضيفين.,صورة ذهنية واقعية: متعلم أجنبي في طاكسي صغير بالمغرب، الموقف هو “الوصول إلى المغرب”، واللقطة تُظهر لحظة توضيح أو سؤال بدون نص كثير.,فيديو قصير: يبدأ المشهد في طاكسي صغير، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “لا، سمح ليا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,4,L01-D01-S04,L01-D01-P04,رد على جواب مغربي,رد على جواب مغربي — الوصول إلى المغرب,طاكسي صغير,المتعلم في طاكسي صغير ضمن موقف: الوصول إلى المغرب. يحتاج أن يتصرف بدون ترجمة طويلة.,يتعامل المتعلم مع جواب مغربي محتمل أو سوء فهم. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الوصول إلى المغرب.,يقول جملة دارجة قصيرة تؤدي وظيفة: رد على جواب مغربي في موقف الوصول إلى المغرب.,فين بغيتي؟,السؤال القصير أفضل للمبتدئ من شرح طويل ومعقد.,صورة ذهنية واقعية: متعلم أجنبي في طاكسي صغير بالمغرب، الموقف هو “الوصول إلى المغرب”، واللقطة تُظهر لحظة رد على جواب مغربي بدون نص كثير.,فيديو قصير: يبدأ المشهد في طاكسي صغير، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “فين بغيتي؟”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,5,L01-D01-S05,L01-D01-P05,إغلاق الموقف,إغلاق الموقف — الوصول إلى المغرب,طاكسي صغير,المتعلم في طاكسي صغير ضمن موقف: الوصول إلى المغرب. يحتاج أن يتصرف بدون ترجمة طويلة.,ينهي المتعلم الموقف بأدب أو يتخذ قرارًا واضحًا. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: الوصول إلى المغرب.,يقول جملة دارجة قصيرة تؤدي وظيفة: إغلاق الموقف في موقف الوصول إلى المغرب.,عندك الحق.,يمكن أن يكون الجواب غير مباشر؛ المتعلم يحتاج أن يطلب التوضيح بهدوء.,صورة ذهنية واقعية: متعلم أجنبي في طاكسي صغير بالمغرب، الموقف هو “الوصول إلى المغرب”، واللقطة تُظهر لحظة إغلاق الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في طاكسي صغير، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “عندك الحق.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,1,L01-D02-S01,L01-D02-P01,فتح الموقف,فتح الموقف — أول طاكسي إلى الفندق,فندق/رياض,المتعلم في فندق/رياض ضمن موقف: أول طاكسي إلى الفندق. يحتاج أن يتصرف بدون ترجمة طويلة.,يفتح المتعلم الكلام بطريقة طبيعية ومهذبة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول طاكسي إلى الفندق.,يقول جملة دارجة قصيرة تؤدي وظيفة: فتح الموقف في موقف أول طاكسي إلى الفندق.,إييه، ممكن.,السؤال القصير أفضل للمبتدئ من شرح طويل ومعقد.,صورة ذهنية واقعية: متعلم أجنبي في فندق/رياض بالمغرب، الموقف هو “أول طاكسي إلى الفندق”، واللقطة تُظهر لحظة فتح الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في فندق/رياض، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “إييه، ممكن.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,2,L01-D02-S02,L01-D02-P02,طلب أساسي,طلب أساسي — أول طاكسي إلى الفندق,فندق/رياض,المتعلم في فندق/رياض ضمن موقف: أول طاكسي إلى الفندق. يحتاج أن يتصرف بدون ترجمة طويلة.,يطلب المتعلم شيئًا واضحًا مرتبطًا بالموقف. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول طاكسي إلى الفندق.,يقول جملة دارجة قصيرة تؤدي وظيفة: طلب أساسي في موقف أول طاكسي إلى الفندق.,لا، سمح ليا.,يمكن أن يكون الجواب غير مباشر؛ المتعلم يحتاج أن يطلب التوضيح بهدوء.,صورة ذهنية واقعية: متعلم أجنبي في فندق/رياض بالمغرب، الموقف هو “أول طاكسي إلى الفندق”، واللقطة تُظهر لحظة طلب أساسي بدون نص كثير.,فيديو قصير: يبدأ المشهد في فندق/رياض، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “لا، سمح ليا.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,3,L01-D02-S03,L01-D02-P03,توضيح أو سؤال,توضيح أو سؤال — أول طاكسي إلى الفندق,فندق/رياض,المتعلم في فندق/رياض ضمن موقف: أول طاكسي إلى الفندق. يحتاج أن يتصرف بدون ترجمة طويلة.,يسأل المتعلم سؤالًا إضافيًا أو يوضح الحاجة. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول طاكسي إلى الفندق.,يقول جملة دارجة قصيرة تؤدي وظيفة: توضيح أو سؤال في موقف أول طاكسي إلى الفندق.,فين بغيتي؟,التفاوض مقبول في السوق، لكن يجب أن يبقى بلطافة.,صورة ذهنية واقعية: متعلم أجنبي في فندق/رياض بالمغرب، الموقف هو “أول طاكسي إلى الفندق”، واللقطة تُظهر لحظة توضيح أو سؤال بدون نص كثير.,فيديو قصير: يبدأ المشهد في فندق/رياض، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “فين بغيتي؟”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,4,L01-D02-S04,L01-D02-P04,رد على جواب مغربي,رد على جواب مغربي — أول طاكسي إلى الفندق,فندق/رياض,المتعلم في فندق/رياض ضمن موقف: أول طاكسي إلى الفندق. يحتاج أن يتصرف بدون ترجمة طويلة.,يتعامل المتعلم مع جواب مغربي محتمل أو سوء فهم. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول طاكسي إلى الفندق.,يقول جملة دارجة قصيرة تؤدي وظيفة: رد على جواب مغربي في موقف أول طاكسي إلى الفندق.,عندك الحق.,الشكر في النهاية يترك أثرًا جيدًا حتى لو لم يتم الاتفاق.,صورة ذهنية واقعية: متعلم أجنبي في فندق/رياض بالمغرب، الموقف هو “أول طاكسي إلى الفندق”، واللقطة تُظهر لحظة رد على جواب مغربي بدون نص كثير.,فيديو قصير: يبدأ المشهد في فندق/رياض، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “عندك الحق.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,5,L01-D02-S05,L01-D02-P05,إغلاق الموقف,إغلاق الموقف — أول طاكسي إلى الفندق,فندق/رياض,المتعلم في فندق/رياض ضمن موقف: أول طاكسي إلى الفندق. يحتاج أن يتصرف بدون ترجمة طويلة.,ينهي المتعلم الموقف بأدب أو يتخذ قرارًا واضحًا. الهدف ليس حفظ كلمة، بل إنجاز الفعل داخل الموقف: أول طاكسي إلى الفندق.,يقول جملة دارجة قصيرة تؤدي وظيفة: إغلاق الموقف في موقف أول طاكسي إلى الفندق.,غادي نعاونك.,الصوت المغربي هو المرجع، والكتابة اللاتينية تساعد فقط.,صورة ذهنية واقعية: متعلم أجنبي في فندق/رياض بالمغرب، الموقف هو “أول طاكسي إلى الفندق”، واللقطة تُظهر لحظة إغلاق الموقف بدون نص كثير.,فيديو قصير: يبدأ المشهد في فندق/رياض، يحدث trigger واضح، المتعلم يقول الجملة، المغربي يرد “غادي نعاونك.”، ثم ينتهي الموقف بحركة مفهومة.,ينتج الصوت والصورة والفيديو فقط بعد اعتماد الجملة النهائية لهذا الموقف.,تميّز Darija30: مشهد حي قابل للصوت والصورة والفيديو والتكرار، وليس عبارة مترجمة فقط.
