level,day,week,titleArabic,titleEnglish,phrases,firstPhrase,lastPhrase,status
4,1,1,أساسيات السؤال على الثمن,Price Essentials,5,bshhal hada?,"shukran, ghadi nfker shwiya",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,5,ghali bzaf,nakhdo b miya dirham?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,3,1,لعبة العرض والرد,Counteroffer Game,5,andi ghir tmanin dirham,"wakha, ghadi nakhdo",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,4,1,الألوان والشكل,Colors and Style,5,wach kayn lwn akhor?,had l-lwn zwin,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,5,1,المقاس والتجريب,Size and Fit,5,wach kayn kber?,ja mzyan 3liya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,6,1,الجودة والمادة,Quality and Material,5,wach l-jawda mzyana?,warini ahsan jawda aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,7,1,مراجعة الأسبوع 1: تفاوض ذكي,Week 1 Review: Smart Bargain,5,bshhal hada?,"wakha, ghadi nakhdo",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,8,2,الخضر والشراء اليومي,Vegetables and Small Food Buying,5,bghit kilo dyal btata,bshhal kolshi?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,9,2,الفواكه والميزان,Fruit and Weight,5,3tini limon mzyan aafak,wzenha aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,10,2,العطرية والزيتون والمكسرات,"Spices, Olives, and Nuts",5,bghit l-3triya l-mghribiya,bghit zitoun mkhalet,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,11,2,الحانوت والحاجات اليومية,Hanout and Everyday Items,5,bghit qar3a dyal l-ma,khlli l-baqi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,12,2,الهدايا والتذكارات,Souvenirs and Gifts,5,hadi hadiya,3tini sak aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,13,2,قارن قبل الشراء,Compare Before Buying,5,bghit nchouf mazal lwel,shno smit l-mahal?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,14,2,مراجعة الأسبوع 2: شراء السوق,Week 2 Review: Market Buying,5,bghit kilo dyal btata,ghadi nchouf w nrje3,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
