level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,moroccanChat,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,imagePromptSeed,videoActionSeed,contentStatus,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual
12,Full Morocco Simulation,محاكاة المغرب الكاملة,1,1,الوصول وتنظيم اليوم الأول,L12-D01-P01,"At the airport exit, you ask where the official taxis are.","Where are the official taxis, please?",fin kaynin taxi rasmiin aafak?,fin kaynin taxi rasmiin aafak?,فين كاينين الطاكسيات الرسميين عافاك؟,tma 7da l-bab,Official taxi areas reduce confusion after arrival.,fin / kaynin / taxi / rasmiin / aafak,"Realistic Moroccan full-trip simulation scene, Level 12 Day 1: الوصول وتنظيم اليوم الأول. Show a learner handling this real situation in Morocco: At the airport exit, you ask where the official taxis are.. Visual focus: the action behind the phrase 'fin kaynin taxi rasmiin aafak?' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.","Short realistic simulation video: Level 12 Day 1 'الوصول وتنظيم اليوم الأول'. Trigger: At the airport exit, you ask where the official taxis are.. Learner says 'fin kaynin taxi rasmiin aafak?'. Moroccan person replies 'tma 7da l-bab'. End with learner completing the task calmly.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day01/l12-d01-p01-normal.mp3,assets/audio/level12/day01/l12-d01-p01-slow.mp3,assets/video/level12/day01/l12-d01-p01-scene.mp4,assets/images/video-posters/level12/day01/l12-d01-p01-poster.webp,assets/images/lesson-scenes/level12/day01/l12-d01-p01-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,1,1,الوصول وتنظيم اليوم الأول,L12-D01-P02,You tell the driver your riad is inside the old medina.,My riad is inside the old medina.,r-riyad dyali dakh l-mdina l-qdima,r-riyad dyali dakh l-mdina l-qdima,الرياض ديالي داخل المدينة القديمة,"wakha, n9erbk l bab","Medina cars may stop near gates, not at the exact door.",r-riyad / dyali / dakh / l-mdina / l-qdima,"Realistic Moroccan full-trip simulation scene, Level 12 Day 1: الوصول وتنظيم اليوم الأول. Show a learner handling this real situation in Morocco: You tell the driver your riad is inside the old medina.. Visual focus: the action behind the phrase 'r-riyad dyali dakh l-mdina l-qdima' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.","Short realistic simulation video: Level 12 Day 1 'الوصول وتنظيم اليوم الأول'. Trigger: You tell the driver your riad is inside the old medina.. Learner says 'r-riyad dyali dakh l-mdina l-qdima'. Moroccan person replies 'wakha, n9erbk l bab'. End with learner completing the task calmly.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day01/l12-d01-p02-normal.mp3,assets/audio/level12/day01/l12-d01-p02-slow.mp3,assets/video/level12/day01/l12-d01-p02-scene.mp4,assets/images/video-posters/level12/day01/l12-d01-p02-poster.webp,assets/images/lesson-scenes/level12/day01/l12-d01-p02-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,1,1,الوصول وتنظيم اليوم الأول,L12-D01-P03,You ask for a fair price before moving.,"How much to the medina, please?",bsh7al l-mdina aafak?,bsh7al l-mdina aafak?,بشحال للمدينة عافاك؟,b ... dirham,Confirming price first prevents surprises.,bsh7al / l-mdina / aafak,"Realistic Moroccan full-trip simulation scene, Level 12 Day 1: الوصول وتنظيم اليوم الأول. Show a learner handling this real situation in Morocco: You ask for a fair price before moving.. Visual focus: the action behind the phrase 'bsh7al l-mdina aafak?' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 1 'الوصول وتنظيم اليوم الأول'. Trigger: You ask for a fair price before moving.. Learner says 'bsh7al l-mdina aafak?'. Moroccan person replies 'b ... dirham'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day01/l12-d01-p03-normal.mp3,assets/audio/level12/day01/l12-d01-p03-slow.mp3,assets/video/level12/day01/l12-d01-p03-scene.mp4,assets/images/video-posters/level12/day01/l12-d01-p03-poster.webp,assets/images/lesson-scenes/level12/day01/l12-d01-p03-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,1,1,الوصول وتنظيم اليوم الأول,L12-D01-P04,You tell the driver you have luggage.,I have luggage with me.,3ndi l-bagage m3aya,3ndi l-bagage m3aya,عندي الباگاج معايا,ma kayn moshkil,Mention bags because small taxis and medina streets can be tight.,3ndi / l-bagage / m3aya,"Realistic Moroccan full-trip simulation scene, Level 12 Day 1: الوصول وتنظيم اليوم الأول. Show a learner handling this real situation in Morocco: You tell the driver you have luggage.. Visual focus: the action behind the phrase '3ndi l-bagage m3aya' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 1 'الوصول وتنظيم اليوم الأول'. Trigger: You tell the driver you have luggage.. Learner says '3ndi l-bagage m3aya'. Moroccan person replies 'ma kayn moshkil'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day01/l12-d01-p04-normal.mp3,assets/audio/level12/day01/l12-d01-p04-slow.mp3,assets/video/level12/day01/l12-d01-p04-scene.mp4,assets/images/video-posters/level12/day01/l12-d01-p04-poster.webp,assets/images/lesson-scenes/level12/day01/l12-d01-p04-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,1,1,الوصول وتنظيم اليوم الأول,L12-D01-P05,You summarize your first plan.,Today I just want to arrive and rest.,lyoum bghit ghir nwsel w nrta7,lyoum bghit ghir nwsel w nrta7,اليوم بغيت غير نوصل ونرتاح,"mzyan, b ra7tek","After travel, simple plans are realistic and polite.",lyoum / bghit / ghir / nwsel / w / nrta7,"Realistic Moroccan full-trip simulation scene, Level 12 Day 1: الوصول وتنظيم اليوم الأول. Show a learner handling this real situation in Morocco: You summarize your first plan.. Visual focus: the action behind the phrase 'lyoum bghit ghir nwsel w nrta7' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.","Short realistic simulation video: Level 12 Day 1 'الوصول وتنظيم اليوم الأول'. Trigger: You summarize your first plan.. Learner says 'lyoum bghit ghir nwsel w nrta7'. Moroccan person replies 'mzyan, b ra7tek'. End with learner completing the task calmly.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day01/l12-d01-p05-normal.mp3,assets/audio/level12/day01/l12-d01-p05-slow.mp3,assets/video/level12/day01/l12-d01-p05-scene.mp4,assets/images/video-posters/level12/day01/l12-d01-p05-poster.webp,assets/images/lesson-scenes/level12/day01/l12-d01-p05-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,2,1,الدخول للرياض وحل أول مشكل,L12-D02-P01,"At reception, you say you have a reservation.",I have a reservation under this name.,3ndi 7ajz b had smiya,3ndi 7ajz b had smiya,عندي حجز بهاد السمية,nchouf daba,Reservation wording combines hotel vocabulary and calm tone.,3ndi / 7ajz / b / had / smiya,"Realistic Moroccan full-trip simulation scene, Level 12 Day 2: الدخول للرياض وحل أول مشكل. Show a learner handling this real situation in Morocco: At reception, you say you have a reservation.. Visual focus: the action behind the phrase '3ndi 7ajz b had smiya' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.","Short realistic simulation video: Level 12 Day 2 'الدخول للرياض وحل أول مشكل'. Trigger: At reception, you say you have a reservation.. Learner says '3ndi 7ajz b had smiya'. Moroccan person replies 'nchouf daba'. End with learner completing the task calmly.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day02/l12-d02-p01-normal.mp3,assets/audio/level12/day02/l12-d02-p01-slow.mp3,assets/video/level12/day02/l12-d02-p01-scene.mp4,assets/images/video-posters/level12/day02/l12-d02-p01-poster.webp,assets/images/lesson-scenes/level12/day02/l12-d02-p01-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,2,1,الدخول للرياض وحل أول مشكل,L12-D02-P02,You ask if the room is ready.,Is the room ready?,wash l-bit wajed?,wash l-bit wajed?,واش البيت واجد؟,mazal shwiya / iyeh wajed,Hotel timing can be flexible; ask politely.,wash / l-bit / wajed,"Realistic Moroccan full-trip simulation scene, Level 12 Day 2: الدخول للرياض وحل أول مشكل. Show a learner handling this real situation in Morocco: You ask if the room is ready.. Visual focus: the action behind the phrase 'wash l-bit wajed?' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 2 'الدخول للرياض وحل أول مشكل'. Trigger: You ask if the room is ready.. Learner says 'wash l-bit wajed?'. Moroccan person replies 'mazal shwiya / iyeh wajed'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day02/l12-d02-p02-normal.mp3,assets/audio/level12/day02/l12-d02-p02-slow.mp3,assets/video/level12/day02/l12-d02-p02-scene.mp4,assets/images/video-posters/level12/day02/l12-d02-p02-poster.webp,assets/images/lesson-scenes/level12/day02/l12-d02-p02-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,2,1,الدخول للرياض وحل أول مشكل,L12-D02-P03,You notice the key does not work.,The key is not working.,l-mfta7 ma khdamsh,l-mfta7 ma khdamsh,المفتاح ما خدامش,nbeddlo lik,State the problem directly without blame.,l-mfta7 / ma / khdamsh,"Realistic Moroccan full-trip simulation scene, Level 12 Day 2: الدخول للرياض وحل أول مشكل. Show a learner handling this real situation in Morocco: You notice the key does not work.. Visual focus: the action behind the phrase 'l-mfta7 ma khdamsh' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 2 'الدخول للرياض وحل أول مشكل'. Trigger: You notice the key does not work.. Learner says 'l-mfta7 ma khdamsh'. Moroccan person replies 'nbeddlo lik'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day02/l12-d02-p03-normal.mp3,assets/audio/level12/day02/l12-d02-p03-slow.mp3,assets/video/level12/day02/l12-d02-p03-scene.mp4,assets/images/video-posters/level12/day02/l12-d02-p03-poster.webp,assets/images/lesson-scenes/level12/day02/l12-d02-p03-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,2,1,الدخول للرياض وحل أول مشكل,L12-D02-P04,You ask about breakfast time.,What time is breakfast?,f sh7al l-ftor?,f sh7al l-ftor?,فشحال الفطور؟,mn tmnya l 3shra,Confirm times because riads may have house routines.,f / sh7al / l-ftor,"Realistic Moroccan full-trip simulation scene, Level 12 Day 2: الدخول للرياض وحل أول مشكل. Show a learner handling this real situation in Morocco: You ask about breakfast time.. Visual focus: the action behind the phrase 'f sh7al l-ftor?' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 2 'الدخول للرياض وحل أول مشكل'. Trigger: You ask about breakfast time.. Learner says 'f sh7al l-ftor?'. Moroccan person replies 'mn tmnya l 3shra'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day02/l12-d02-p04-normal.mp3,assets/audio/level12/day02/l12-d02-p04-slow.mp3,assets/video/level12/day02/l12-d02-p04-scene.mp4,assets/images/video-posters/level12/day02/l12-d02-p04-poster.webp,assets/images/lesson-scenes/level12/day02/l12-d02-p04-scene.webp
12,Full Morocco Simulation,محاكاة المغرب الكاملة,2,1,الدخول للرياض وحل أول مشكل,L12-D02-P05,You thank the staff for help.,Thank you for your help.,shukran 3la l-mosa3ada,shukran 3la l-mosa3ada,شكراً على المساعدة,marhba bik,Warm thanks keeps service interactions friendly.,shukran / 3la / l-mosa3ada,"Realistic Moroccan full-trip simulation scene, Level 12 Day 2: الدخول للرياض وحل أول مشكل. Show a learner handling this real situation in Morocco: You thank the staff for help.. Visual focus: the action behind the phrase 'shukran 3la l-mosa3ada' without putting readable text on the image. Natural Moroccan setting, respectful body language, no stereotypes.",Short realistic simulation video: Level 12 Day 2 'الدخول للرياض وحل أول مشكل'. Trigger: You thank the staff for help.. Learner says 'shukran 3la l-mosa3ada'. Moroccan person replies 'marhba bik'. End with learner completing the task calmly.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level12/day02/l12-d02-p05-normal.mp3,assets/audio/level12/day02/l12-d02-p05-slow.mp3,assets/video/level12/day02/l12-d02-p05-scene.mp4,assets/images/video-posters/level12/day02/l12-d02-p05-poster.webp,assets/images/lesson-scenes/level12/day02/l12-d02-p05-scene.webp
