level,levelNameEnglish,levelNameArabic,day,week,dayTitle,phraseNumber,id,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,mediaProductionStatus
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,1,1,السلام والاحترام العميق,1,L10-D01-P01,You enter a room and greet everyone generally.,"Peace be upon you, everyone.","salam 3likom, labas 3likom?",سلام عليكم، لباس عليكم؟,"wa 3likom salam, labas lhamdullah",A full-room greeting is warmer than a silent entrance.,assets/audio/level10/day01/l10-d01-p01-normal.mp3,assets/audio/level10/day01/l10-d01-p01-slow.mp3,assets/video/level10/day01/l10-d01-p01-scene.mp4,assets/images/video-posters/level10/day01/l10-d01-p01-poster.webp,assets/images/lesson-scenes/level10/day01/l10-d01-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,1,1,السلام والاحترام العميق,2,L10-D01-P02,You ask about family politely.,How is the family?,kif dayera l-3a2ila?,كيف دايرة العائلة؟,kolshi bikhir lhamdullah,Asking about family shows respect and social awareness.,assets/audio/level10/day01/l10-d01-p02-normal.mp3,assets/audio/level10/day01/l10-d01-p02-slow.mp3,assets/video/level10/day01/l10-d01-p02-scene.mp4,assets/images/video-posters/level10/day01/l10-d01-p02-poster.webp,assets/images/lesson-scenes/level10/day01/l10-d01-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,1,1,السلام والاحترام العميق,3,L10-D01-P03,You greet an older person respectfully.,"How are you, my uncle/aunt?",kif dayr a 3mmi / a khalti?,كيف داير آ عمي / آ خالتي؟,bikhir a weldi / a benti,Kinship words can show respect even when the person is not family.,assets/audio/level10/day01/l10-d01-p03-normal.mp3,assets/audio/level10/day01/l10-d01-p03-slow.mp3,assets/video/level10/day01/l10-d01-p03-scene.mp4,assets/images/video-posters/level10/day01/l10-d01-p03-poster.webp,assets/images/lesson-scenes/level10/day01/l10-d01-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,1,1,السلام والاحترام العميق,4,L10-D01-P04,You say you are honored to meet them.,I am honored to meet you.,mtsherrf b ma3riftkom,متشرف بمعرفتكم,ta 7na mtsherrfin,"Formal respect is useful with elders, hosts, and important guests.",assets/audio/level10/day01/l10-d01-p04-normal.mp3,assets/audio/level10/day01/l10-d01-p04-slow.mp3,assets/video/level10/day01/l10-d01-p04-scene.mp4,assets/images/video-posters/level10/day01/l10-d01-p04-poster.webp,assets/images/lesson-scenes/level10/day01/l10-d01-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,1,1,السلام والاحترام العميق,5,L10-D01-P05,You apologize for interrupting.,Sorry for interrupting.,sme7 lia ila qte3t lik l-hadra,سمح ليا إلا قطعت ليك الهضرة,ma kayn moshkil,Interrupting needs a soft apology in polite conversation.,assets/audio/level10/day01/l10-d01-p05-normal.mp3,assets/audio/level10/day01/l10-d01-p05-slow.mp3,assets/video/level10/day01/l10-d01-p05-scene.mp4,assets/images/video-posters/level10/day01/l10-d01-p05-poster.webp,assets/images/lesson-scenes/level10/day01/l10-d01-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,2,1,الدخول لدار مغربية,1,L10-D02-P01,You thank the host for inviting you.,Thank you for inviting me.,shukran 3la l-3rida,شكراً على العريضة,"marhba bik, dar dark",Thanking for the invitation acknowledges the host’s effort.,assets/audio/level10/day02/l10-d02-p01-normal.mp3,assets/audio/level10/day02/l10-d02-p01-slow.mp3,assets/video/level10/day02/l10-d02-p01-scene.mp4,assets/images/video-posters/level10/day02/l10-d02-p01-poster.webp,assets/images/lesson-scenes/level10/day02/l10-d02-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,2,1,الدخول لدار مغربية,2,L10-D02-P02,You ask where to leave your shoes.,Where should I leave my shoes?,fin nkhli sbati?,فين نخلي صباطي؟,khlieh hna aafak,"Some homes expect shoes off, so asking is polite.",assets/audio/level10/day02/l10-d02-p02-normal.mp3,assets/audio/level10/day02/l10-d02-p02-slow.mp3,assets/video/level10/day02/l10-d02-p02-scene.mp4,assets/images/video-posters/level10/day02/l10-d02-p02-poster.webp,assets/images/lesson-scenes/level10/day02/l10-d02-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,2,1,الدخول لدار مغربية,3,L10-D02-P03,You compliment the home softly.,"Your home is beautiful, tbarkellah.","darkom zwina, tbarkellah",داركم زوينة، تبارك الله,lah ybarek fik,Adding tbarkellah makes compliments culturally warmer.,assets/audio/level10/day02/l10-d02-p03-normal.mp3,assets/audio/level10/day02/l10-d02-p03-slow.mp3,assets/video/level10/day02/l10-d02-p03-scene.mp4,assets/images/video-posters/level10/day02/l10-d02-p03-poster.webp,assets/images/lesson-scenes/level10/day02/l10-d02-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,2,1,الدخول لدار مغربية,4,L10-D02-P04,You say you brought something small.,I brought something small for you.,jbt likom chi haja sghira,جبت ليكم شي حاجة صغيرة,3lach t3ebti rask?,A small gift like sweets is common when visiting.,assets/audio/level10/day02/l10-d02-p04-normal.mp3,assets/audio/level10/day02/l10-d02-p04-slow.mp3,assets/video/level10/day02/l10-d02-p04-scene.mp4,assets/images/video-posters/level10/day02/l10-d02-p04-poster.webp,assets/images/lesson-scenes/level10/day02/l10-d02-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,Moroccan Culture Deep Dive,التعمق في الثقافة المغربية,2,1,الدخول لدار مغربية,5,L10-D02-P05,You ask where you should sit.,Where should I sit?,fin ngles?,فين نگلس؟,"gles hna, marhba",Letting the host guide seating avoids awkwardness.,assets/audio/level10/day02/l10-d02-p05-normal.mp3,assets/audio/level10/day02/l10-d02-p05-slow.mp3,assets/video/level10/day02/l10-d02-p05-scene.mp4,assets/images/video-posters/level10/day02/l10-d02-p05-poster.webp,assets/images/lesson-scenes/level10/day02/l10-d02-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
