level,day,week,title,situation,phraseCount,firstPhrase,lastPhrase,contentStatus
10,1,1,السلام والاحترام العميق,You go beyond basic hello and greet with Moroccan warmth and respect.,5,"salam 3likom, labas 3likom?",sme7 lia ila qte3t lik l-hadra,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,2,1,الدخول لدار مغربية,You are invited into a Moroccan home and behave respectfully.,5,shukran 3la l-3rida,fin ngles?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,3,1,طقوس أتاي,"You understand Moroccan mint tea as hospitality, not just a drink.",5,"iyeh, atay mzyan, shukran",shukran 3la diyafa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,4,1,الأكل مع الناس,You eat with Moroccan hosts and use respectful table phrases.,5,bismillah,n9dr n3awn b chi haja?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,5,1,الجمعة والكسكس,You understand Friday rhythm and family food culture.,5,wash l-kseksu nhar ljm3a?,"shukran, l-ghda kan zwin bzzaf",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,6,1,رمضان والفطور,You join Ramadan conversations and ftour respectfully.,5,ramadan mubarak,ghadi ntsenna 7ta l-ftor,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,7,1,مراجعة الأسبوع الأول,"You review greetings, home visits, tea, eating, Friday, and Ramadan.",5,"salam 3likom, kif dayera l-3a2ila?",jm3a mbaraka w ramadan mubarak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,8,2,العيد والزيارات,You handle Eid greetings and family visits.,5,3id mubarak said,"sme7 lia, t3yidi ja mt2akher",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,9,2,الحمّام والعناية,You understand hammam etiquette and personal-care services.,5,wash lyoum mzyan l-hammam?,"shukran, lah y3tik ssa7a",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,10,2,العرس والحنة,"You speak respectfully at weddings, henna, and celebrations.",5,"mabrouk, lah ykemmel b lkhir",frehان belli 3redto 3lia,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,11,2,الموسيقى والفن الشعبي,"You discuss Moroccan music, festivals, and local art respectfully.",5,ashmn naw3 dyal l-musiqa hadi?,bghit nt3ellem kter 3la had t-taqafa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,12,2,الأمازيغية وتنوع المغرب,You recognize Morocco’s Amazigh and regional diversity.,5,wash kat-hder b tamazight?,wash had l-3ada mn had l-mintaqa?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,13,2,المدينة والحي,You move through the medina or neighborhood with cultural sensitivity.,5,wash hadi l-mdina l-qdima?,shukran 3la triq,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,14,2,مراجعة الأسبوع الثاني,"You review Eid, hammam, weddings, music, Amazigh diversity, and medina etiquette.",5,"3id mubarak said, lah y3awdo 3lik b lkhir",wash had l-3ada mn had l-mintaqa?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,15,3,الكلام غير المباشر,"You understand indirect replies, maybe, inshallah, and soft refusal.",5,wash inshallah hna kat3ni iyeh?,wash momkin b ssa7?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,16,3,المدح وتبارك الله,You give compliments without making people uncomfortable.,5,"l-wlid zwin, tbarkellah",wash l-md7 dyali kan mzyan?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,17,3,الخصوصية والصور,You avoid privacy mistakes around photos and personal questions.,5,n9dr nswwer aafak?,kan7tarem l-khososiya dyalk,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
10,18,3,اللباس والفضاء العام,"You handle clothing, mosque areas, and public respect.",5,wash had l-7wayj mnasbin hna?,fin mamnou3 t-tswir?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
