level,day,week,dayTitle,phraseCount,contentStatus,simulationFocus,firstPhrase,lastPhrase
12,1,1,الوصول وتنظيم اليوم الأول,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: الوصول وتنظيم اليوم الأول. You land in Morocco and manage the first day from airport to plan.,fin kaynin taxi rasmiin aafak?,lyoum bghit ghir nwsel w nrta7
12,2,1,الدخول للرياض وحل أول مشكل,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: الدخول للرياض وحل أول مشكل. You check in, confirm details, and solve a small room problem.",3ndi 7ajz b had smiya,shukran 3la l-mosa3ada
12,3,1,الصباح الأول وخطة اليوم,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: الصباح الأول وخطة اليوم. You wake up, eat breakfast, and set a realistic daily plan.",n9dr nakhod qahwa b l-7lib aafak?,ghadi nrje3 qbel l-lil
12,4,1,الطريق وسط مدينة مزدحمة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: الطريق وسط مدينة مزدحمة. You cross a busy city using taxi, walking directions, and landmarks.",fin triq l-placa aafak?,"y3ni nishan men b3d limen, s7i7?"
12,5,1,مقهى وحديث محلي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: مقهى وحديث محلي. You sit in a café and manage a light Moroccan conversation.,qahwa wa7da aafak,l7sab aafak
12,6,1,مهمة السوق والتفاوض,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: مهمة السوق والتفاوض. You enter the souk, bargain politely, and buy one useful item.",bsh7al hada?,"nakhdo, t3tini sak aafak?"
12,7,1,مطعم واختيارات الأكل,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: مطعم واختيارات الأكل. You order food and explain simple preferences or limits.,ashno l-makla l-m3rofa 3ndkom?,"l-makla kanet bnina, shukran"
12,8,2,تضيع وترجع بأمان,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: تضيع وترجع بأمان. You get lost, ask for help, and return safely.",ma lqitsh r-riyad,"shukran, 3awntini bzzaf"
12,9,2,رحلة قطار أو كار,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: رحلة قطار أو كار. You travel between cities using station language and timing.,fin n9der nshri ticket?,imta ghadi nweslo?
12,10,2,مدينة جديدة وبداية جديدة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: مدينة جديدة وبداية جديدة. You arrive in a new city and rebuild your orientation.,wash hna centre-ville?,khasni ndir check-in luwel
12,11,2,زيارة عائلة مغربية,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,You complete a full Morocco simulation through the situation: زيارة عائلة مغربية. You visit a family and use respectful social language.,"salam 3likom, labas 3likom kamlin?",fre7an bzzaf b ma3riftkom
12,12,2,يوم احترام ثقافي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,"You complete a full Morocco simulation through the situation: يوم احترام ثقافي. You practice respect in religious, private, and family contexts.",n9dr ndkhol hna?,ashno s7i7 ndir?
