level,levelNameEnglish,levelNameArabic,day,dayTheme,situation1,situation2,situation3,situation4,situation5,dayPromise,dayMediaLogic
1,Survival Travel,النجاة السياحية في المغرب,1,الوصول إلى المغرب,فتح الموقف — الوصول إلى المغرب,طلب أساسي — الوصول إلى المغرب,توضيح أو سؤال — الوصول إلى المغرب,رد على جواب مغربي — الوصول إلى المغرب,إغلاق الموقف — الوصول إلى المغرب,في نهاية اليوم يستطيع المتعلم التعامل مع الوصول إلى المغرب عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,2,أول طاكسي إلى الفندق,فتح الموقف — أول طاكسي إلى الفندق,طلب أساسي — أول طاكسي إلى الفندق,توضيح أو سؤال — أول طاكسي إلى الفندق,رد على جواب مغربي — أول طاكسي إلى الفندق,إغلاق الموقف — أول طاكسي إلى الفندق,في نهاية اليوم يستطيع المتعلم التعامل مع أول طاكسي إلى الفندق عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,3,الدخول إلى الفندق أو الرياض,فتح الموقف — الدخول إلى الفندق أو الرياض,طلب أساسي — الدخول إلى الفندق أو الرياض,توضيح أو سؤال — الدخول إلى الفندق أو الرياض,رد على جواب مغربي — الدخول إلى الفندق أو الرياض,إغلاق الموقف — الدخول إلى الفندق أو الرياض,في نهاية اليوم يستطيع المتعلم التعامل مع الدخول إلى الفندق أو الرياض عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,4,أول مقهى,فتح الموقف — أول مقهى,طلب أساسي — أول مقهى,توضيح أو سؤال — أول مقهى,رد على جواب مغربي — أول مقهى,إغلاق الموقف — أول مقهى,في نهاية اليوم يستطيع المتعلم التعامل مع أول مقهى عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,5,طلب الماء والشاي والقهوة,فتح الموقف — طلب الماء والشاي والقهوة,طلب أساسي — طلب الماء والشاي والقهوة,توضيح أو سؤال — طلب الماء والشاي والقهوة,رد على جواب مغربي — طلب الماء والشاي والقهوة,إغلاق الموقف — طلب الماء والشاي والقهوة,في نهاية اليوم يستطيع المتعلم التعامل مع طلب الماء والشاي والقهوة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,6,التعارف البسيط بدون جنسية محددة,فتح الموقف — التعارف البسيط بدون جنسية محددة,طلب أساسي — التعارف البسيط بدون جنسية محددة,توضيح أو سؤال — التعارف البسيط بدون جنسية محددة,رد على جواب مغربي — التعارف البسيط بدون جنسية محددة,إغلاق الموقف — التعارف البسيط بدون جنسية محددة,في نهاية اليوم يستطيع المتعلم التعامل مع التعارف البسيط بدون جنسية محددة عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,7,مراجعة أسبوع 1: Survival wheel,فتح الموقف — مراجعة أسبوع 1: Survival wheel,طلب أساسي — مراجعة أسبوع 1: Survival wheel,توضيح أو سؤال — مراجعة أسبوع 1: Survival wheel,رد على جواب مغربي — مراجعة أسبوع 1: Survival wheel,إغلاق الموقف — مراجعة أسبوع 1: Survival wheel,في نهاية اليوم يستطيع المتعلم التعامل مع مراجعة أسبوع 1: Survival wheel عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,8,السؤال عن المكان,فتح الموقف — السؤال عن المكان,طلب أساسي — السؤال عن المكان,توضيح أو سؤال — السؤال عن المكان,رد على جواب مغربي — السؤال عن المكان,إغلاق الموقف — السؤال عن المكان,في نهاية اليوم يستطيع المتعلم التعامل مع السؤال عن المكان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,9,اليمين واليسار والنيشان,فتح الموقف — اليمين واليسار والنيشان,طلب أساسي — اليمين واليسار والنيشان,توضيح أو سؤال — اليمين واليسار والنيشان,رد على جواب مغربي — اليمين واليسار والنيشان,إغلاق الموقف — اليمين واليسار والنيشان,في نهاية اليوم يستطيع المتعلم التعامل مع اليمين واليسار والنيشان عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
1,Survival Travel,النجاة السياحية في المغرب,10,السوق: السؤال عن الثمن,فتح الموقف — السوق: السؤال عن الثمن,طلب أساسي — السوق: السؤال عن الثمن,توضيح أو سؤال — السوق: السؤال عن الثمن,رد على جواب مغربي — السوق: السؤال عن الثمن,إغلاق الموقف — السوق: السؤال عن الثمن,في نهاية اليوم يستطيع المتعلم التعامل مع السوق: السؤال عن الثمن عبر 5 مشاهد قصيرة.,كل مشهد يجب أن ينتج منه صوت مغربي، صورة ذهنية، وفيديو قصير لاحقًا.
