id,hasLatin,hasArabic,hasEnglish,hasScenario,hasCultureNote,status,needsNativeQA
L10-D01-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D01-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D02-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P03,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P04,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D03-P05,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P01,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
L10-D04-P02,True,True,True,True,True,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,True
