level,levelNameEnglish,levelNameArabic,day,dayTheme,situationNo,sceneId,targetPhraseId,situationContext,friendlyLatin,darijaArabicSupport,englishMeaning,possibleMoroccanReply,cultureNoteEnglish,pronunciationParts,imagePromptSeed,videoActionSeed,sourceKeys,status,mediaRule
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,1,L02-D01-S01,L02-D01-P01,The learner arrives at the riad door and opens the interaction politely.,"salam aalikom, ana wasel daba",السلام عليكم، أنا واصل دابا,"Hello, I have arrived now.","wa aalikom salam, mrehba bik",Opening with salam is a safe respectful start in riads and homes.,salam aalikom / ana wasel daba,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 1: الدخول إلى الرياض أول مرة. Show a foreign learner politely handling this situation: The learner arrives at the riad door and opens the interaction politely.. Visual focus: the phrase 'salam aalikom, ana wasel daba' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الدخول إلى الرياض أول مرة'. Trigger: The learner arrives at the riad door and opens the interaction politely.. Learner says 'salam aalikom, ana wasel daba'. Moroccan host/staff replies 'wa aalikom salam, mrehba bik'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,2,L02-D01-S02,L02-D01-P02,The learner is at the entrance and needs permission/help to enter.,bghit ndkhol l-riad aafak,بغيت ندخل للرياض عافاك,"I would like to enter the riad, please.","mrehba, dkhol",Use aafak to soften a direct request with staff or hosts.,bghit ndkhol / l-riad aafak,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 1: الدخول إلى الرياض أول مرة. Show a foreign learner politely handling this situation: The learner is at the entrance and needs permission/help to enter.. Visual focus: the phrase 'bghit ndkhol l-riad aafak' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الدخول إلى الرياض أول مرة'. Trigger: The learner is at the entrance and needs permission/help to enter.. Learner says 'bghit ndkhol l-riad aafak'. Moroccan host/staff replies 'mrehba, dkhol'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,3,L02-D01-S03,L02-D01-P03,The learner is inside the courtyard and looks for reception.,wash hna reception?,واش هنا الريسبسيون؟,Is reception here?,"iyeh, hna",French words like reception are common in accommodation contexts.,wash / hna / reception,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 1: الدخول إلى الرياض أول مرة. Show a foreign learner politely handling this situation: The learner is inside the courtyard and looks for reception.. Visual focus: the phrase 'wash hna reception?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الدخول إلى الرياض أول مرة'. Trigger: The learner is inside the courtyard and looks for reception.. Learner says 'wash hna reception?'. Moroccan host/staff replies 'iyeh, hna'. End with clear action showing the problem/request resolved.",daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,4,L02-D01-S04,L02-D01-P04,The learner explains they are staying at this place.,ana guest hna lila,أنا ضيف هنا ليلة,I am a guest here for one night.,"wakha, shno smitk?",Short identity statements help staff place the reservation without long conversation.,ana guest / hna lila,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 1: الدخول إلى الرياض أول مرة. Show a foreign learner politely handling this situation: The learner explains they are staying at this place.. Visual focus: the phrase 'ana guest hna lila' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الدخول إلى الرياض أول مرة'. Trigger: The learner explains they are staying at this place.. Learner says 'ana guest hna lila'. Moroccan host/staff replies 'wakha, shno smitk?'. End with clear action showing the problem/request resolved.",gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,1,الدخول إلى الرياض أول مرة,5,L02-D01-S05,L02-D01-P05,The learner closes the welcome moment with a compliment.,"shukran, l-blasa zwina",شكرا، البلاصة زوينة,"Thank you, the place is beautiful.","allah ykhalik, mrehba",A simple compliment to the place fits Moroccan hospitality and feels warm.,shukran / l-blasa zwina,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 1: الدخول إلى الرياض أول مرة. Show a foreign learner politely handling this situation: The learner closes the welcome moment with a compliment.. Visual focus: the phrase 'shukran, l-blasa zwina' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'الدخول إلى الرياض أول مرة'. Trigger: The learner closes the welcome moment with a compliment.. Learner says 'shukran, l-blasa zwina'. Moroccan host/staff replies 'allah ykhalik, mrehba'. End with clear action showing the problem/request resolved.",daily_hospitality,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,1,L02-D02-S01,L02-D02-P01,The learner stands at reception and confirms the booking.,aandi reservation b smiya dyali,عندي رزيرفاسيون بسميتي,I have a reservation under my name.,shno smitk?,Reservation is a common loanword; keep the phrase short and functional.,aandi reservation / b smiya / dyali,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 2: تأكيد الحجز والاستقبال. Show a foreign learner politely handling this situation: The learner stands at reception and confirms the booking.. Visual focus: the phrase 'aandi reservation b smiya dyali' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'تأكيد الحجز والاستقبال'. Trigger: The learner stands at reception and confirms the booking.. Learner says 'aandi reservation b smiya dyali'. Moroccan host/staff replies 'shno smitk?'. End with clear action showing the problem/request resolved.,daily_darija_hotel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,2,L02-D02-S02,L02-D02-P02,The learner gives their name after being asked.,smiti ...,سميتي ...,My name is ...,"mzyan, shwiya aafak",Use placeholder dots to keep the sentence global for all learners.,smiti / ...,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 2: تأكيد الحجز والاستقبال. Show a foreign learner politely handling this situation: The learner gives their name after being asked.. Visual focus: the phrase 'smiti ...' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'تأكيد الحجز والاستقبال'. Trigger: The learner gives their name after being asked.. Learner says 'smiti ...'. Moroccan host/staff replies 'mzyan, shwiya aafak'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,3,L02-D02-S03,L02-D02-P03,The learner needs to know if they can go to the room now.,wash l-bit wajed?,واش البيت واجد؟,Is the room ready?,mazal shwiya / iyeh wajed,Room readiness is a common check-in need.,wash / l-bit / wajed,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 2: تأكيد الحجز والاستقبال. Show a foreign learner politely handling this situation: The learner needs to know if they can go to the room now.. Visual focus: the phrase 'wash l-bit wajed?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.",Short interactive video: learner is in a Moroccan riad/guesthouse during 'تأكيد الحجز والاستقبال'. Trigger: The learner needs to know if they can go to the room now.. Learner says 'wash l-bit wajed?'. Moroccan host/staff replies 'mazal shwiya / iyeh wajed'. End with clear action showing the problem/request resolved.,bewildered_hotel_riad,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,4,L02-D02-S04,L02-D02-P04,The learner asks to view the room politely.,nqder nshuf l-bit?,نقدر نشوف البيت؟,Can I see the room?,"iyeh, tfdal",Seeing the room before accepting is a practical accommodation scenario.,nqder / nshuf / l-bit,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 2: تأكيد الحجز والاستقبال. Show a foreign learner politely handling this situation: The learner asks to view the room politely.. Visual focus: the phrase 'nqder nshuf l-bit?' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'تأكيد الحجز والاستقبال'. Trigger: The learner asks to view the room politely.. Learner says 'nqder nshuf l-bit?'. Moroccan host/staff replies 'iyeh, tfdal'. End with clear action showing the problem/request resolved.",gateway_accommodation,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,2,تأكيد الحجز والاستقبال,5,L02-D02-S05,L02-D02-P05,The room is not ready and the learner accepts waiting calmly.,"wakha, ghadi ntsenna hna",واخا، غادي نتسنى هنا,"Okay, I will wait here.",shukran bzaf,A calm response avoids conflict and gives a natural closure.,wakha / ghadi ntsenna hna,"Realistic Moroccan riad/guesthouse scene, Level 2 Day 2: تأكيد الحجز والاستقبال. Show a foreign learner politely handling this situation: The room is not ready and the learner accepts waiting calmly.. Visual focus: the phrase 'wakha, ghadi ntsenna hna' without putting text on the image. Warm natural light, Moroccan zellij, riad courtyard or room when relevant.","Short interactive video: learner is in a Moroccan riad/guesthouse during 'تأكيد الحجز والاستقبال'. Trigger: The room is not ready and the learner accepts waiting calmly.. Learner says 'wakha, ghadi ntsenna hna'. Moroccan host/staff replies 'shukran bzaf'. End with clear action showing the problem/request resolved.",darija_polite,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,No audio/image/video production before native Darija QA and final sentence approval.
