level,day,week,title,phraseCount,sample1,sample5,status
6,1,1,الدخول إلى بيت مغربي,5,salam alikom,ndkhol aafak?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,2,1,التحية على كل الحاضرين,5,w alikom salam,smh lia ila nseet chi smiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,3,1,السؤال على العائلة,5,kif dayra l-3aila?,allah ykhlihom lik,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,4,1,الحديث عن عائلتك,5,3ailti sghira,kanhder m3ahom f-whatsapp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,5,1,الأتاي داخل العائلة,5,bghit atay shwiya,shukran 3la l-atay,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,6,1,مدح الدار والجو,5,dar zwina bzzaf,allah y3tikom saha,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,7,1,مراجعة الزيارة الأولى,5,ferhan nji 3ndkom,bslama w nshofkom qrib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,8,2,آداب الأكل مع العائلة,5,bssaha,kolshi bnin,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,9,2,قبول أو رفض المزيد من الأكل,5,shba3t shukran,3jbni walakin ma nqdrsh nzid,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,10,2,المساعدة داخل البيت,5,nqdr n3awnk?,ma bghitsh nkhalik khdam بوحدك,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,11,2,الكلام مع الكبار باحترام,5,salam aami,allah ytawel 3mrek,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,12,2,الكلام مع الأطفال,5,shno smitk?,allah yhafdk,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,13,2,الصور والذكريات,5,nqdro nkhdo tswira?,ghadi nbqa ntfkar had nhar,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,14,2,مراجعة الغداء العائلي,5,jit ntghdda m3akom,bslama w shukran bzzaf,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,15,3,الدعوات والخطط,5,wash tqdero tjiw ghdda?,safi ntlaqaw tma,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,16,3,الوقت والوصول بلطف,5,ghadi nji m3a sitta,wslti?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,17,3,الهدية الصغيرة,5,jbt likom had l-hdiya,bssaha 3likom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,18,3,لقاء الأصدقاء خارج البيت,5,fin nta daba?,yallah nmshiw m3a b3diyatna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,19,3,المزاح الخفيف,5,kanḍhk m3ak,nta mudhik bzzaf,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,20,3,الحدود والاحترام,5,ma bghitsh nhder 3la had l-mawdo3,ana mrtaah hakda,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,21,3,مراجعة الأصدقاء والعائلة,5,mzyan nkon m3a s-hab,shukran 3la kolshi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,22,4,المناسبات العائلية,5,fin ghadi ykon l-3rs?,mabrouk 3likom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,23,4,التهاني والدعوات الطيبة,5,mabrouk,bssaha w raha,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,24,4,الاعتذار والشكر داخل العلاقة,5,smh lia jit mtakher,3la slamtk,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,25,4,الهاتف والواتساب مع الأصدقاء,5,sift lia l-location,3awd lia bshwiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,26,4,طلب نصيحة محلية,5,shno katqترح 3lia?,shukran 3la nsiha,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,27,4,عرض المساعدة,5,nqdr n3awnk?,ma kayn moshkil,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,28,4,مراجعة الثقة الاجتماعية,5,jit m3a saahbi,khrjt b-adab,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,29,5,مواقف اجتماعية مختلطة,5,salam alikom kamlin,ntlaqaw qrib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
6,30,5,اختبار الزيارة الاجتماعية النهائي,5,salam alikom,bslama w nshofkom qrib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
