level,day,week,lessonTitleArabic,lessonTitleEnglish,phraseId,friendlyLatin,arabic,english,scenario,possibleMoroccanReply,cultureNote,pronunciationParts,imagePromptSeed,videoActionSeed,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,status
4,1,1,أساسيات السؤال على الثمن,Price Essentials,L04-D01-P01,bshhal hada?,بشحال هادا؟,How much is this?,Ask how much this item is.,khamsin dirham,Start with a simple price question. It is normal in Morocco to ask before touching too much.,bshhal / hada?,"Realistic Moroccan souk/shopping scene, Level 4 Day 1: أساسيات السؤال على الثمن. Show a foreign learner politely handling this situation: Ask how much this item is.. Visual focus: the phrase 'bshhal hada?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'أساسيات السؤال على الثمن'. Trigger: Ask how much this item is.. Learner says 'bshhal hada?'. Moroccan seller replies 'khamsin dirham'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day01/l04-d01-p01-normal.mp3,assets/audio/level04/day01/l04-d01-p01-slow.mp3,assets/video/level04/day01/l04-d01-p01-scene.mp4,assets/images/video-posters/level04/day01/l04-d01-p01-poster.webp,assets/images/lesson-scenes/level04/day01/l04-d01-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,1,1,أساسيات السؤال على الثمن,Price Essentials,L04-D01-P02,bshhal hadi?,بشحال هادي؟,How much is this one?,Ask how much this one is.,tlatin dirham,Use hada/hadi depending on what you point at; the gesture helps even if grammar is not perfect.,bshhal / hadi?,"Realistic Moroccan souk/shopping scene, Level 4 Day 1: أساسيات السؤال على الثمن. Show a foreign learner politely handling this situation: Ask how much this one is.. Visual focus: the phrase 'bshhal hadi?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'أساسيات السؤال على الثمن'. Trigger: Ask how much this one is.. Learner says 'bshhal hadi?'. Moroccan seller replies 'tlatin dirham'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day01/l04-d01-p02-normal.mp3,assets/audio/level04/day01/l04-d01-p02-slow.mp3,assets/video/level04/day01/l04-d01-p02-scene.mp4,assets/images/video-posters/level04/day01/l04-d01-p02-poster.webp,assets/images/lesson-scenes/level04/day01/l04-d01-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,1,1,أساسيات السؤال على الثمن,Price Essentials,L04-D01-P03,bghit nchouf hada aafak,بغيت نشوف هادا عافاك,"I want to see this, please.",Say you want to see the item.,tfdal,Ask before handling delicate items; it sounds respectful.,bghit / nchouf / hada / aafak,"Realistic Moroccan souk/shopping scene, Level 4 Day 1: أساسيات السؤال على الثمن. Show a foreign learner politely handling this situation: Say you want to see the item.. Visual focus: the phrase 'bghit nchouf hada aafak' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'أساسيات السؤال على الثمن'. Trigger: Say you want to see the item.. Learner says 'bghit nchouf hada aafak'. Moroccan seller replies 'tfdal'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day01/l04-d01-p03-normal.mp3,assets/audio/level04/day01/l04-d01-p03-slow.mp3,assets/video/level04/day01/l04-d01-p03-scene.mp4,assets/images/video-posters/level04/day01/l04-d01-p03-poster.webp,assets/images/lesson-scenes/level04/day01/l04-d01-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,1,1,أساسيات السؤال على الثمن,Price Essentials,L04-D01-P04,wach taman thabet?,واش الثمن ثابت؟,Is the price fixed?,Ask if the price is fixed.,"la, nqdr nqes shwiya","Some shops are fixed-price, but many souk prices are negotiable.",wach / taman / thabet?,"Realistic Moroccan souk/shopping scene, Level 4 Day 1: أساسيات السؤال على الثمن. Show a foreign learner politely handling this situation: Ask if the price is fixed.. Visual focus: the phrase 'wach taman thabet?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أساسيات السؤال على الثمن'. Trigger: Ask if the price is fixed.. Learner says 'wach taman thabet?'. Moroccan seller replies 'la, nqdr nqes shwiya'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day01/l04-d01-p04-normal.mp3,assets/audio/level04/day01/l04-d01-p04-slow.mp3,assets/video/level04/day01/l04-d01-p04-scene.mp4,assets/images/video-posters/level04/day01/l04-d01-p04-poster.webp,assets/images/lesson-scenes/level04/day01/l04-d01-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,1,1,أساسيات السؤال على الثمن,Price Essentials,L04-D01-P05,"shukran, ghadi nfker shwiya",شكرا، غادي نفكر شوية,"Thank you, I will think a little.",Say thank you while thinking.,mrehba bik,This lets you leave politely without pressure.,shukran / ghadi nfker shwiya,"Realistic Moroccan souk/shopping scene, Level 4 Day 1: أساسيات السؤال على الثمن. Show a foreign learner politely handling this situation: Say thank you while thinking.. Visual focus: the phrase 'shukran, ghadi nfker shwiya' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أساسيات السؤال على الثمن'. Trigger: Say thank you while thinking.. Learner says 'shukran, ghadi nfker shwiya'. Moroccan seller replies 'mrehba bik'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day01/l04-d01-p05-normal.mp3,assets/audio/level04/day01/l04-d01-p05-slow.mp3,assets/video/level04/day01/l04-d01-p05-scene.mp4,assets/images/video-posters/level04/day01/l04-d01-p05-poster.webp,assets/images/lesson-scenes/level04/day01/l04-d01-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,L04-D02-P01,ghali bzaf,غالي بزاف,It is too expensive.,Say the price is too expensive.,"la, taman mzyan","Say it with a smile; bargaining is social, not a fight.",ghali / bzaf,"Realistic Moroccan souk/shopping scene, Level 4 Day 2: أول تفاوض بأدب. Show a foreign learner politely handling this situation: Say the price is too expensive.. Visual focus: the phrase 'ghali bzaf' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أول تفاوض بأدب'. Trigger: Say the price is too expensive.. Learner says 'ghali bzaf'. Moroccan seller replies 'la, taman mzyan'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day02/l04-d02-p01-normal.mp3,assets/audio/level04/day02/l04-d02-p01-slow.mp3,assets/video/level04/day02/l04-d02-p01-scene.mp4,assets/images/video-posters/level04/day02/l04-d02-p01-poster.webp,assets/images/lesson-scenes/level04/day02/l04-d02-p01-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,L04-D02-P02,nqes shwiya aafak,نقص شوية عافاك,"Lower it a little, please.",Ask for a small reduction.,"wakha, nqs lik",A polite “aafak” helps keep the exchange friendly.,nqes / shwiya / aafak,"Realistic Moroccan souk/shopping scene, Level 4 Day 2: أول تفاوض بأدب. Show a foreign learner politely handling this situation: Ask for a small reduction.. Visual focus: the phrase 'nqes shwiya aafak' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أول تفاوض بأدب'. Trigger: Ask for a small reduction.. Learner says 'nqes shwiya aafak'. Moroccan seller replies 'wakha, nqs lik'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day02/l04-d02-p02-normal.mp3,assets/audio/level04/day02/l04-d02-p02-slow.mp3,assets/video/level04/day02/l04-d02-p02-scene.mp4,assets/images/video-posters/level04/day02/l04-d02-p02-poster.webp,assets/images/lesson-scenes/level04/day02/l04-d02-p02-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,L04-D02-P03,shno akhir taman?,شنو آخر ثمن؟,What is the last price?,Ask for the last price.,akhir taman huwa hada,"The “last price” may still move a bit, but it closes the bargain politely.",shno / akhir / taman?,"Realistic Moroccan souk/shopping scene, Level 4 Day 2: أول تفاوض بأدب. Show a foreign learner politely handling this situation: Ask for the last price.. Visual focus: the phrase 'shno akhir taman?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.",Short interactive video: learner is in a Moroccan souk/shop during 'أول تفاوض بأدب'. Trigger: Ask for the last price.. Learner says 'shno akhir taman?'. Moroccan seller replies 'akhir taman huwa hada'. End with a clear action showing the shopping interaction resolved.,assets/audio/level04/day02/l04-d02-p03-normal.mp3,assets/audio/level04/day02/l04-d02-p03-slow.mp3,assets/video/level04/day02/l04-d02-p03-scene.mp4,assets/images/video-posters/level04/day02/l04-d02-p03-poster.webp,assets/images/lesson-scenes/level04/day02/l04-d02-p03-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,L04-D02-P04,"ana tourist, bghit taman mzyan",أنا توريست، بغيت ثمن مزيان,"I am a tourist, but I want a fair price.",Say you are a tourist but want a fair price.,"mzyan, nqes lik",Being honest and friendly can work better than pretending to be local.,ana tourist / bghit taman mzyan,"Realistic Moroccan souk/shopping scene, Level 4 Day 2: أول تفاوض بأدب. Show a foreign learner politely handling this situation: Say you are a tourist but want a fair price.. Visual focus: the phrase 'ana tourist, bghit taman mzyan' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أول تفاوض بأدب'. Trigger: Say you are a tourist but want a fair price.. Learner says 'ana tourist, bghit taman mzyan'. Moroccan seller replies 'mzyan, nqes lik'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day02/l04-d02-p04-normal.mp3,assets/audio/level04/day02/l04-d02-p04-slow.mp3,assets/video/level04/day02/l04-d02-p04-scene.mp4,assets/images/video-posters/level04/day02/l04-d02-p04-poster.webp,assets/images/lesson-scenes/level04/day02/l04-d02-p04-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
4,2,1,أول تفاوض بأدب,Polite First Bargain,L04-D02-P05,nakhdo b miya dirham?,ناخدو بمية درهم؟,Can I take it for 100 dirhams?,Offer a lower price politely.,"la, zid shwiya",Start your counteroffer respectfully; the seller may meet you halfway.,nakhdo / b / miya / dirham?,"Realistic Moroccan souk/shopping scene, Level 4 Day 2: أول تفاوض بأدب. Show a foreign learner politely handling this situation: Offer a lower price politely.. Visual focus: the phrase 'nakhdo b miya dirham?' without putting text on the image. Moroccan market, shop stall, artisan goods, warm natural light, respectful real-life interaction.","Short interactive video: learner is in a Moroccan souk/shop during 'أول تفاوض بأدب'. Trigger: Offer a lower price politely.. Learner says 'nakhdo b miya dirham?'. Moroccan seller replies 'la, zid shwiya'. End with a clear action showing the shopping interaction resolved.",assets/audio/level04/day02/l04-d02-p05-normal.mp3,assets/audio/level04/day02/l04-d02-p05-slow.mp3,assets/video/level04/day02/l04-d02-p05-scene.mp4,assets/images/video-posters/level04/day02/l04-d02-p05-poster.webp,assets/images/lesson-scenes/level04/day02/l04-d02-p05-scene.webp,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
