level,day,dayTitle,phraseNo,phraseId,friendlyLatin,arabic,english,scenario,goal,possibleMoroccanReply,cultureNote,pronunciationParts,audioNormal,audioSlow,sceneVisual,sceneVideo,status
5,1,اختيار وسيلة النقل المناسبة,1,L05-D01-P01,shno l-wsila l-ahsan lhad lblasa?,شنو الوسيلة الأحسن لهاد البلاصة؟,What is the best transport for this place?,You ask a host or local before leaving.,What is the best transport for this place?,"taksi wla tram, 3la hsab fin ghadi","The best option depends on distance, luggage, and time.",shno / l-wsila / l-ahsan / lhad lblasa,assets/audio/level05/day01/l05-d01-p01-normal.mp3,assets/audio/level05/day01/l05-d01-p01-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p01-scene.webp,assets/video/level05/day01/l05-d01-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,2,L05-D01-P02,wach nmsi b-tram wla b-taksi?,واش نمشي بطرام ولا بطاكسي؟,Should I go by tram or by taxi?,You compare two options.,Should I go by tram or by taxi?,"ila qriba, tram mzyan",A direct comparison question is practical and natural.,wach / nmsi b-tram / wla b-taksi,assets/audio/level05/day01/l05-d01-p02-normal.mp3,assets/audio/level05/day01/l05-d01-p02-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p02-scene.webp,assets/video/level05/day01/l05-d01-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,3,L05-D01-P03,shhal ghadi yakhod l-waqt?,شحال غادي ياخد الوقت؟,How long will it take?,You need to know travel time.,How long will it take?,shi nos sa3a,"Time estimates may be approximate, so stay flexible.",shhal / ghadi yakhod / l-waqt,assets/audio/level05/day01/l05-d01-p03-normal.mp3,assets/audio/level05/day01/l05-d01-p03-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p03-scene.webp,assets/video/level05/day01/l05-d01-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,4,L05-D01-P04,wach kayn tariq sahla?,واش كاين طريق سهلة؟,Is there an easy route?,You have bags and want an easier way.,Is there an easy route?,"ah, sir nishan mn hna",Say sahla when comfort matters more than speed.,wach kayn / tariq / sahla,assets/audio/level05/day01/l05-d01-p04-normal.mp3,assets/audio/level05/day01/l05-d01-p04-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p04-scene.webp,assets/video/level05/day01/l05-d01-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,1,اختيار وسيلة النقل المناسبة,5,L05-D01-P05,"safi, ghadi nmsi b-hadi",صافي، غادي نمشي بهادي,"Okay, I will take this one.",You decide which option to take.,"Okay, I will take this one.","wakha, treq salama",Safi naturally closes a decision.,safi / ghadi nmsi / b-hadi,assets/audio/level05/day01/l05-d01-p05-normal.mp3,assets/audio/level05/day01/l05-d01-p05-slow.mp3,assets/images/lesson-scenes/level05/day01/l05-d01-p05-scene.webp,assets/video/level05/day01/l05-d01-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,1,L05-D02-P01,taksi sghir l-mdina afak,طاكسي صغير للمدينة عافاك,"A small taxi to the city, please.",You are near the street and need a petit taxi.,"A small taxi to the city, please.",fin bghiti tmshi?,Petit taxis usually work inside city limits.,taksi sghir / l-mdina / afak,assets/audio/level05/day02/l05-d02-p01-normal.mp3,assets/audio/level05/day02/l05-d02-p01-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p01-scene.webp,assets/video/level05/day02/l05-d02-p01-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,2,L05-D02-P02,bghit nmsi l-blasa hadi,بغيت نمشي للبلاصة هادي,I want to go to this place.,You show a destination on your phone.,I want to go to this place.,"ah, rak qrib",Showing the map helps if pronunciation is hard.,bghit nmsi / l-blasa / hadi,assets/audio/level05/day02/l05-d02-p02-normal.mp3,assets/audio/level05/day02/l05-d02-p02-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p02-scene.webp,assets/video/level05/day02/l05-d02-p02-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,3,L05-D02-P03,wach l-compteur khdam?,واش الكونتور خدام؟,Is the meter working?,You want to avoid confusion about the fare.,Is the meter working?,ah khdam,"In city taxis, asking about the meter can be normal.",wach / l-compteur / khdam,assets/audio/level05/day02/l05-d02-p03-normal.mp3,assets/audio/level05/day02/l05-d02-p03-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p03-scene.webp,assets/video/level05/day02/l05-d02-p03-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,4,L05-D02-P04,qrebna?,قربنا؟,Are we close?,You are in the taxi and want to know if you are near.,Are we close?,"ah, qrebna",A very short question is enough in a taxi.,qrebna,assets/audio/level05/day02/l05-d02-p04-normal.mp3,assets/audio/level05/day02/l05-d02-p04-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p04-scene.webp,assets/video/level05/day02/l05-d02-p04-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
5,2,تاكسي صغير داخل المدينة,5,L05-D02-P05,"hna mezian, shukran",هنا مزيان، شكرا,"Here is good, thank you.",You reached a convenient stopping point.,"Here is good, thank you.",bssaha,Short polite endings work well with drivers.,hna mezian / shukran,assets/audio/level05/day02/l05-d02-p05-normal.mp3,assets/audio/level05/day02/l05-d02-p05-slow.mp3,assets/images/lesson-scenes/level05/day02/l05-d02-p05-scene.webp,assets/video/level05/day02/l05-d02-p05-scene.mp4,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
