phraseId,day,dayTitle,friendlyLatin,english,status,needsNativeDarijaQA,needsAudioBeforePublish,notes
L12-D01-P01,1,الوصول وتنظيم اليوم الأول,fin kaynin taxi rasmiin aafak?,"Where are the official taxis, please?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D01-P02,1,الوصول وتنظيم اليوم الأول,r-riyad dyali dakh l-mdina l-qdima,My riad is inside the old medina.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D01-P03,1,الوصول وتنظيم اليوم الأول,bsh7al l-mdina aafak?,"How much to the medina, please?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D01-P04,1,الوصول وتنظيم اليوم الأول,3ndi l-bagage m3aya,I have luggage with me.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D01-P05,1,الوصول وتنظيم اليوم الأول,lyoum bghit ghir nwsel w nrta7,Today I just want to arrive and rest.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D02-P01,2,الدخول للرياض وحل أول مشكل,3ndi 7ajz b had smiya,I have a reservation under this name.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D02-P02,2,الدخول للرياض وحل أول مشكل,wash l-bit wajed?,Is the room ready?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D02-P03,2,الدخول للرياض وحل أول مشكل,l-mfta7 ma khdamsh,The key is not working.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D02-P04,2,الدخول للرياض وحل أول مشكل,f sh7al l-ftor?,What time is breakfast?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D02-P05,2,الدخول للرياض وحل أول مشكل,shukran 3la l-mosa3ada,Thank you for your help.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D03-P01,3,الصباح الأول وخطة اليوم,n9dr nakhod qahwa b l-7lib aafak?,"Can I have coffee with milk, please?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D03-P02,3,الصباح الأول وخطة اليوم,ashno qreb nzor mn hna?,What is close to visit from here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D03-P03,3,الصباح الأول وخطة اليوم,bghit nhar hani lyoum,I want a calm day today.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D03-P04,3,الصباح الأول وخطة اليوم,wash had lblasa amina b l-3shiya?,Is this area safe in the evening?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D03-P05,3,الصباح الأول وخطة اليوم,ghadi nrje3 qbel l-lil,I will come back before night.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D04-P01,4,الطريق وسط مدينة مزدحمة,fin triq l-placa aafak?,"Which way to the square, please?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D04-P02,4,الطريق وسط مدينة مزدحمة,sir nishan aafak,"Go straight, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D04-P03,4,الطريق وسط مدينة مزدحمة,n9dr nmshi 3la rejli mn hna?,Can I walk from here?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D04-P04,4,الطريق وسط مدينة مزدحمة,tle3t shwiya,I am a little lost.,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D04-P05,4,الطريق وسط مدينة مزدحمة,"y3ni nishan men b3d limen, s7i7?","So I go straight then right, correct?",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D05-P01,5,مقهى وحديث محلي,qahwa wa7da aafak,"One coffee, please.",DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
L12-D05-P02,5,مقهى وحديث محلي,wash had lblasa khawya?,Is this seat free?,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,YES,YES,"Draft web-researched full simulation phrase; verify natural Moroccan Darija, Arabic helper, and regional neutrality before recording."
