level,levelNameEnglish,levelNameArabic,day,dayTitleArabic,dayTitleEnglish,phraseIndex,phraseId,scenario,friendlyLatin,arabic,english,possibleMoroccanReply,cultureNote,pronunciationParts,status
3,Café & Daily Social Life,المقهى والحياة اليومية,1,الدخول إلى مقهى مغربي,Entering a Moroccan café,1,L03-D01-P01,You enter a café and greet the waiter before asking for a seat.,"salam, wash kayna blasa?",سلام، واش كاينة بلاصة؟,"Hello, is there a place?","iyeh, kayna","In cafés, open with salam before asking for a seat.",salam / wash kayna / blasa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,1,الدخول إلى مقهى مغربي,Entering a Moroccan café,2,L03-D01-P02,You want to sit at a specific empty table.,nqdr njles hna aafak?,نقدر نجلس هنا عافاك؟,"Can I sit here, please?","iyeh, tfdal",Use aafak to soften the request and avoid sounding too direct.,nqdr / njles hna / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,1,الدخول إلى مقهى مغربي,Entering a Moroccan café,3,L03-D01-P03,You see a table and need to know whether it is free.,wash had table khawi?,واش هاد الطابلة خاوية؟,Is this table free?,"ah, khawi",Ask before sitting if the table may be reserved or used by someone.,wash / had table / khawi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,1,الدخول إلى مقهى مغربي,Entering a Moroccan café,4,L03-D01-P04,You need help choosing where to sit.,fin nqdr njles?,فين نقدر نجلس؟,Where can I sit?,tfdal hna,A simple question lets staff guide you without a long conversation.,fin / nqdr / njles,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,1,الدخول إلى مقهى مغربي,Entering a Moroccan café,5,L03-D01-P05,You thank the waiter after being shown a seat.,"shukran, ghadi njles hna",شكرا، غادي نجلس هنا,"Thank you, I will sit here.",mrehba bik,A small thank-you keeps the café interaction warm.,shukran / ghadi njles / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,2,اختيار القهوة أو أتاي أو عصير,"Choosing coffee, tea, or juice",1,L03-D02-P01,You want one Moroccan mint tea.,bghit wahed atay aafak,بغيت واحد أتاي عافاك,"I would like one tea, please.",wakha,Atay is a familiar everyday café order in Morocco.,bghit / wahed atay / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,2,اختيار القهوة أو أتاي أو عصير,"Choosing coffee, tea, or juice",2,L03-D02-P02,You want a black coffee.,bghit qahwa kahla,بغيت قهوة كحلة,I would like a black coffee.,wakha,Short coffee orders are normal in cafés; no need for long wording.,bghit / qahwa / kahla,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,2,اختيار القهوة أو أتاي أو عصير,"Choosing coffee, tea, or juice",3,L03-D02-P03,You want a Moroccan “nass nass”.,bghit nass nass aafak,بغيت نص نص عافاك,"I would like a nass nass, please.",mzyan,Nass nass is a common Moroccan coffee style: half coffee and half milk.,bghit / nass nass / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,2,اختيار القهوة أو أتاي أو عصير,"Choosing coffee, tea, or juice",4,L03-D02-P04,You prefer orange juice.,bghit asir limon,بغيت عصير ليمون,I would like orange juice.,bared wla normal?,Fresh orange juice is common in cafés and tourist areas.,bghit / asir / limon,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,2,اختيار القهوة أو أتاي أو عصير,"Choosing coffee, tea, or juice",5,L03-D02-P05,You ask what drinks are available.,shno kayn lshreb?,شنو كاين للشرب؟,What is there to drink?,"kayn atay, qahwa, asir",This is a useful open question when you do not know the menu.,shno kayn / lshreb,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,3,الجلوس والطلب من النادل,Sitting and ordering from the waiter,1,L03-D03-P01,You need the menu before ordering.,jib liya lmenu aafak,جيب ليا المينو عافاك,"Bring me the menu, please.",wakha,French-origin words like menu are common in cafés.,jib liya / lmenu / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,3,الجلوس والطلب من النادل,Sitting and ordering from the waiter,2,L03-D03-P02,You are ready to order.,"aafak, bghit ntaleb",عافاك، بغيت نطلب,"Please, I want to order.",shno bghiti?,Use this when the waiter is nearby but has not asked yet.,aafak / bghit / ntaleb,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
3,Café & Daily Social Life,المقهى والحياة اليومية,3,الجلوس والطلب من النادل,Sitting and ordering from the waiter,3,L03-D03-P03,You ask what is available today.,shno kayn lyom?,شنو كاين اليوم؟,What is available today?,kayn hado,A broad question works when the menu is not clear.,shno kayn / lyom,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
