level,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,imagePromptSeed,videoActionSeed
8,1,1,ما حاسّش براسي مزيان,L08-D01-P01,You tell someone you do not feel well.,I do not feel well.,ma 7assish b-rasi mzyan,ما حاسّيش براسي مزيان,shno kayn?,"Start with a simple, calm phrase before giving symptoms. Use emergency services for serious symptoms.",ma / 7assish / b-rasi / mzyan,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day01/l08-d01-p01-normal.mp3,assets/audio/level08/day01/l08-d01-p01-slow.mp3,assets/video/level08/day01/l08-d01-p01-scene.mp4,assets/images/video-posters/level08/day01/l08-d01-p01-poster.webp,assets/images/lesson-scenes/level08/day01/l08-d01-p01-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 1: ما حاسّش براسي مزيان. Show a foreign learner respectfully handling this situation: You tell someone you do not feel well.. Visual focus: the phrase 'ma 7assish b-rasi mzyan' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'ما حاسّش براسي مزيان'. Trigger: You tell someone you do not feel well.. Learner says 'ma 7assish b-rasi mzyan'. Moroccan person replies 'shno kayn?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,1,1,ما حاسّش براسي مزيان,L08-D01-P02,You ask for a doctor.,I need a doctor.,khassni tbib,خاصني طبيب,kayn tbib qrib,Tbib is widely understood; in urgent cases say it is urgent.,khassni / tbib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day01/l08-d01-p02-normal.mp3,assets/audio/level08/day01/l08-d01-p02-slow.mp3,assets/video/level08/day01/l08-d01-p02-scene.mp4,assets/images/video-posters/level08/day01/l08-d01-p02-poster.webp,assets/images/lesson-scenes/level08/day01/l08-d01-p02-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 1: ما حاسّش براسي مزيان. Show a foreign learner respectfully handling this situation: You ask for a doctor.. Visual focus: the phrase 'khassni tbib' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'ما حاسّش براسي مزيان'. Trigger: You ask for a doctor.. Learner says 'khassni tbib'. Moroccan person replies 'kayn tbib qrib'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,1,1,ما حاسّش براسي مزيان,L08-D01-P03,You ask for a nearby clinic.,Is there a clinic nearby?,wash kayna clinique qriba?,واش كاينة كلينيك قريبة؟,"iyeh, hna qriba",Clinique is common in cities; locals may also direct you to a public hospital.,wash / kayna / clinique / qriba,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day01/l08-d01-p03-normal.mp3,assets/audio/level08/day01/l08-d01-p03-slow.mp3,assets/video/level08/day01/l08-d01-p03-scene.mp4,assets/images/video-posters/level08/day01/l08-d01-p03-poster.webp,assets/images/lesson-scenes/level08/day01/l08-d01-p03-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 1: ما حاسّش براسي مزيان. Show a foreign learner respectfully handling this situation: You ask for a nearby clinic.. Visual focus: the phrase 'wash kayna clinique qriba?' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'ما حاسّش براسي مزيان'. Trigger: You ask for a nearby clinic.. Learner says 'wash kayna clinique qriba?'. Moroccan person replies 'iyeh, hna qriba'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,1,1,ما حاسّش براسي مزيان,L08-D01-P04,You ask someone to help you.,Please help me.,3awenni aafak,عاونّي عافاك,"wakha, mashi moshkil",A direct help phrase matters when you are stressed or sick.,3awenni / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day01/l08-d01-p04-normal.mp3,assets/audio/level08/day01/l08-d01-p04-slow.mp3,assets/video/level08/day01/l08-d01-p04-scene.mp4,assets/images/video-posters/level08/day01/l08-d01-p04-poster.webp,assets/images/lesson-scenes/level08/day01/l08-d01-p04-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 1: ما حاسّش براسي مزيان. Show a foreign learner respectfully handling this situation: You ask someone to help you.. Visual focus: the phrase '3awenni aafak' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'ما حاسّش براسي مزيان'. Trigger: You ask someone to help you.. Learner says '3awenni aafak'. Moroccan person replies 'wakha, mashi moshkil'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,1,1,ما حاسّش براسي مزيان,L08-D01-P05,You ask them to speak slowly.,Please speak slowly.,hder bshwiya aafak,هضر بشوية عافاك,"wakha, bshwiya","When ill or anxious, slow speech helps you understand instructions.",hder / bshwiya / aafak,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day01/l08-d01-p05-normal.mp3,assets/audio/level08/day01/l08-d01-p05-slow.mp3,assets/video/level08/day01/l08-d01-p05-scene.mp4,assets/images/video-posters/level08/day01/l08-d01-p05-poster.webp,assets/images/lesson-scenes/level08/day01/l08-d01-p05-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 1: ما حاسّش براسي مزيان. Show a foreign learner respectfully handling this situation: You ask them to speak slowly.. Visual focus: the phrase 'hder bshwiya aafak' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'ما حاسّش براسي مزيان'. Trigger: You ask them to speak slowly.. Learner says 'hder bshwiya aafak'. Moroccan person replies 'wakha, bshwiya'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,2,1,الصيدلية والأعراض البسيطة,L08-D02-P01,You ask where the pharmacy is.,Where is the pharmacy?,fin kayna frmasiya?,فين كاينة فرماسية؟,tma 7da l-coin,Pharmacies are common and often the first stop for minor issues.,fin / kayna / frmasiya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day02/l08-d02-p01-normal.mp3,assets/audio/level08/day02/l08-d02-p01-slow.mp3,assets/video/level08/day02/l08-d02-p01-scene.mp4,assets/images/video-posters/level08/day02/l08-d02-p01-poster.webp,assets/images/lesson-scenes/level08/day02/l08-d02-p01-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 2: الصيدلية والأعراض البسيطة. Show a foreign learner respectfully handling this situation: You ask where the pharmacy is.. Visual focus: the phrase 'fin kayna frmasiya?' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'الصيدلية والأعراض البسيطة'. Trigger: You ask where the pharmacy is.. Learner says 'fin kayna frmasiya?'. Moroccan person replies 'tma 7da l-coin'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,2,1,الصيدلية والأعراض البسيطة,L08-D02-P02,You say you have a headache.,I have a headache.,3ndi wja3 f rassi,عندي وجع فراسي,khod had dwa,Headache is one of the most useful symptom phrases.,3ndi / wja3 / f / rassi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day02/l08-d02-p02-normal.mp3,assets/audio/level08/day02/l08-d02-p02-slow.mp3,assets/video/level08/day02/l08-d02-p02-scene.mp4,assets/images/video-posters/level08/day02/l08-d02-p02-poster.webp,assets/images/lesson-scenes/level08/day02/l08-d02-p02-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 2: الصيدلية والأعراض البسيطة. Show a foreign learner respectfully handling this situation: You say you have a headache.. Visual focus: the phrase '3ndi wja3 f rassi' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'الصيدلية والأعراض البسيطة'. Trigger: You say you have a headache.. Learner says '3ndi wja3 f rassi'. Moroccan person replies 'khod had dwa'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,2,1,الصيدلية والأعراض البسيطة,L08-D02-P03,You say you have stomach pain.,I have stomach pain.,3ndi wja3 f kershi,عندي وجع فكرشي,wash kliti chi haja?,Food and stomach issues are common travel situations.,3ndi / wja3 / f / kershi,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day02/l08-d02-p03-normal.mp3,assets/audio/level08/day02/l08-d02-p03-slow.mp3,assets/video/level08/day02/l08-d02-p03-scene.mp4,assets/images/video-posters/level08/day02/l08-d02-p03-poster.webp,assets/images/lesson-scenes/level08/day02/l08-d02-p03-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 2: الصيدلية والأعراض البسيطة. Show a foreign learner respectfully handling this situation: You say you have stomach pain.. Visual focus: the phrase '3ndi wja3 f kershi' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'الصيدلية والأعراض البسيطة'. Trigger: You say you have stomach pain.. Learner says '3ndi wja3 f kershi'. Moroccan person replies 'wash kliti chi haja?'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,2,1,الصيدلية والأعراض البسيطة,L08-D02-P04,You say you have a fever.,I have a fever.,3ndi skhana,عندي سخانة,khassek t9is l-7rara,Skhana is a practical everyday word for fever/temperature.,3ndi / skhana,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day02/l08-d02-p04-normal.mp3,assets/audio/level08/day02/l08-d02-p04-slow.mp3,assets/video/level08/day02/l08-d02-p04-scene.mp4,assets/images/video-posters/level08/day02/l08-d02-p04-poster.webp,assets/images/lesson-scenes/level08/day02/l08-d02-p04-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 2: الصيدلية والأعراض البسيطة. Show a foreign learner respectfully handling this situation: You say you have a fever.. Visual focus: the phrase '3ndi skhana' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'الصيدلية والأعراض البسيطة'. Trigger: You say you have a fever.. Learner says '3ndi skhana'. Moroccan person replies 'khassek t9is l-7rara'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
8,2,1,الصيدلية والأعراض البسيطة,L08-D02-P05,You ask how to take the medicine.,How do I take this medicine?,kifash nakhod had dwa?,كيفاش ناخد هاد الدوا؟,mra f sba7 w mra f lil,Always ask dosage clearly; do not guess with medicine.,kifash / nakhod / had / dwa,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level08/day02/l08-d02-p05-normal.mp3,assets/audio/level08/day02/l08-d02-p05-slow.mp3,assets/video/level08/day02/l08-d02-p05-scene.mp4,assets/images/video-posters/level08/day02/l08-d02-p05-poster.webp,assets/images/lesson-scenes/level08/day02/l08-d02-p05-scene.webp,"Realistic Moroccan health, safety, or problem-solving scene, Level 8 Day 2: الصيدلية والأعراض البسيطة. Show a foreign learner respectfully handling this situation: You ask how to take the medicine.. Visual focus: the phrase 'kifash nakhod had dwa?' without putting text on the image. Moroccan pharmacy with green cross, clinic reception, taxi to hospital, police station, riad desk, busy street, apartment doorway, or quiet safe public place as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan health/safety/problem situation during 'الصيدلية والأعراض البسيطة'. Trigger: You ask how to take the medicine.. Learner says 'kifash nakhod had dwa?'. Moroccan person replies 'mra f sba7 w mra f lil'. End with a clear practical action: getting help, moving to safety, receiving instructions, or resolving paperwork respectfully."
