level,levelNameEnglish,levelNameArabic,learningPromise,difficulty,darija30Signature,days,situations,mediaRule,independenceRule
1,Survival Travel,النجاة السياحية في المغرب,بعد هذا المستوى يستطيع المتعلم أن يقول الجمل الأساسية كسائح في الطاكسي، الفندق، السوق، المقهى، الشارع، والمساعدة.,Novice / A1-like — جمل قصيرة جدًا ومباشرة,أول 30 يوم في المغرب: ماذا تقول الآن؟,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
2,Guest / Riad / Hospitality,الضيف والرياض والضيافة,بعد هذا المستوى يستطيع المتعلم دخول رياض أو بيت مغربي والتعامل بأدب مع المضيفين والخدمات الصغيرة.,A1+ — جمل قصيرة مع مجاملات وسياق ضيافة,لا يكون السائح مجرد زبون؛ يتعلم أدب الضيافة المغربية.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
3,Café & Daily Social Life,المقهى والحياة اليومية,بعد هذا المستوى يستطيع المتعلم فتح كلام يومي بسيط في مقهى أو شارع بدون خوف.,A1+/A2 — أسئلة قصيرة وردود اجتماعية خفيفة,المتعلم يتجاوز الطلب فقط ويبدأ أول تواصل اجتماعي مغربي.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
4,Souk & Shopping Better,السوق والشراء بذكاء,بعد هذا المستوى يستطيع المتعلم الشراء والتفاوض بأدب وفهم الجودة واللون والمقاس والانسحاب.,A2 — أسئلة شراء وتفاوض وردود قصيرة,ليس “كم الثمن؟” فقط؛ بل لعبة تفاوض مغربية كاملة.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
5,Moving Around Morocco,التنقل داخل المغرب وبين المدن,بعد هذا المستوى يستطيع المتعلم استعمال التاكسي، الترام، القطار، الكار، والمحطة في رحلة مغربية واقعية.,A2 — تعليمات واتجاهات وتذاكر ومواعيد,رحلة من الباب إلى الباب، وليس كلمات نقل منفصلة.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
6,Friends & Family,الأصدقاء والعائلة,بعد هذا المستوى يستطيع المتعلم التفاعل داخل زيارة عائلة أو لقاء صديق مغربي بأدب ودفء.,A2/A2+ — مجاملات وأسئلة شخصية آمنة,كيف لا تحرج نفسك داخل بيت مغربي.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
7,Longer Stay / Daily Services,الإقامة الطويلة والخدمات اليومية,بعد هذا المستوى يستطيع المتعلم أن يعيش في المغرب مدة أطول ويتعامل مع السكن والخدمات والجيران.,A2+/B1- — طلبات خدمة ومواعيد ومشاكل يومية,من سائح إلى مقيم مؤقت يعرف يدبر راسو.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
8,"Health, Safety & Problems",الصحة والسلامة والمشاكل,بعد هذا المستوى يستطيع المتعلم طلب المساعدة عندما يمرض أو يضيع أو يقع في مشكلة بسيطة/متوسطة.,A2+/B1- — وصف مشكلة وطلب مساعدة واضحة,لغة الطمأنينة: كيف تطلب النجدة بدون هلع.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
9,Work & Practical Business,العمل والخدمات العملية,بعد هذا المستوى يستطيع المتعلم تدبير خدمة أو موعد أو اتفاق مهني بسيط بالدارجة.,B1- — تفاوض عملي ومواعيد وتأكيدات,دارجة عملية: اتفاق، موعد، جودة، تسليم، شكوى.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
10,Moroccan Culture Deep Dive,الغوص في الثقافة المغربية,بعد هذا المستوى يفهم المتعلم لماذا يقول المغاربة أشياء معينة وكيف يتصرف داخل مناسبات وثقافة عميقة.,B1 — عبارات ثقافية وسياق اجتماعي أعمق,ليس ماذا تقول فقط؛ بل لماذا ومتى ومن الأفضل أن تقولها.,30,150,لا صوت/صورة/فيديو قبل اعتماد الموقف والجملة.,المستوى مستقل في المحتوى والتقدم والميديا، واللغة مستقلة في الشرح والواجهة.
