day,lessonTitle,phraseId,friendlyLatin,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual
1,Taxi Survival,taxi-001,bghit nmshi l-otel,OK,OK,OK,OK,OK
1,Taxi Survival,taxi-002,wqef hna aafak,MISSING,MISSING,OK,OK,OK
1,Taxi Survival,taxi-003,sir nishan aafak,MISSING,MISSING,OK,OK,OK
1,Taxi Survival,taxi-004,dur l-limen aafak,MISSING,MISSING,OK,OK,OK
1,Taxi Survival,taxi-005,hna mezian,MISSING,MISSING,OK,OK,OK
2,Cafe Culture,cafe-001,qahwa kahla aafak,OK,OK,OK,OK,OK
2,Cafe Culture,cafe-002,atay b naanaa aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,Cafe Culture,cafe-003,bla sokkar aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,Cafe Culture,cafe-004,l-ma aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
2,Cafe Culture,cafe-005,l-hssab aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,Market Price,market-001,bshhal hada?,OK,OK,OK,OK,OK
3,Market Price,market-002,ghali bzaf,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,Market Price,market-003,nqes shwiya aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,Market Price,market-004,shnu akher taman?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
3,Market Price,market-005,bghit nshri hada,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,First Moroccan Greetings,day04-salam-001,salam,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
4,First Moroccan Greetings,day04-labas-002,labas?,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,First Moroccan Greetings,day04-bikhir-lhamdullah-003,"bikhir, lhamdullah",MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,First Moroccan Greetings,day04-shukran-004,shukran,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
4,First Moroccan Greetings,day04-bslama-005,bslama,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
5,Be Polite Without Sounding Formal,day05-aafak-001,aafak,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,OK
5,Be Polite Without Sounding Formal,day05-smh-liya-002,smh liya,MISSING,MISSING,NOT_DEFINED,NOT_DEFINED,NOT_DEFINED
